[00:00] 歡迎大家來到今天的欺騰的介紹的作者
[55:57] 然後那個時候你設計職額一次
[56:00] 他印出來就要2000件這樣
[56:02] 然後所以我還記得
[56:04] 那個時候新竹貨運
[56:07] 把2000件送到我家的時候
[56:09] 那個司機把它抬下來
[56:12] 抬得很久
[56:14] 然後有一次
[56:15] 我在路上又碰到這個時機
[56:17] 因為有人要送貨給我
[56:19] 他一看到我就
[56:21] 就是你
[56:22] 那個2000件的那個話
[56:24] 搬的要紙
[56:26] 讓我現在印象深刻這樣
[56:28] 然後後來你說
[56:29] 這個印的2000件這些
[56:31] logo 設計這些職額
[56:33] 最後有用掉嘛
[56:34] 最後世上沒有用掉了
[56:36] 然後所以我花了很多的錢
[56:38] 在打品牌
[56:40] 然後品牌呢
[56:41] 他就會需要花一些錢這樣
[56:44] 然後這個時候你就會想說
[56:46] 那品牌不重要嘛
[56:48] 好
[56:49] 這個時候我們跟大家講下來
[56:51] 就是品牌它是很重要
[56:54] 但是它並不是創業一開始
[56:57] 一開始你要做的事情
[56:59] 除非你的錢夠多這樣
[57:01] 對
[57:02] 這邊經濟也有講品牌很稍前
[57:05] 然後所以我跟大家分享一下
[57:07] 就是創業正確的順序這樣
[57:10] 好還不好
[57:12] 好如果
[57:13] 那我就直接在這邊打了
[57:15] 就是第一個部分呢
[57:18] 叫做可驗證的產品
[57:20] 像我剛才不是有講到嗎
[57:23] 第一部分就是把產品賣出去
[57:26] 換回營的時候
[57:32] 所以第一部分
[57:33] 我們一定要想辦法賣出夠多的產品
[57:36] 而且是用我們希望的價格
[57:39] 然後當這個
[57:42] 產品順利可以一直不斷賣出去的時候
[57:45] 我們就完成了第一個階段
[57:47] 因為你賣得出去
[57:51] 錢回來
[57:53] 你有錢之後
[57:54] 就可以開始做品牌
[57:56] 然後所以
[57:57] 事業的第一個階段叫做活下來
[58:00] 所以第一個部分
[58:01] 我們一定要思考
[58:03] 百分之百的這個用心
[58:06] 全部都花在這個
[58:08] 把產品賣出去
[58:09] 把錢收回來
[58:11] 然後第二個階段
[58:12] 我們剛剛不是有講到
[58:13] 我們每一次接觸客戶的時候
[58:15] 客戶會開始在腦袋裡面
[58:17] 對一點對我們產品的任何的觀感
[58:21] 然後它這個時候
[58:22] 慢慢慢慢它會有
[58:24] 品牌在效應
[58:26] 然後所以到客戶
[58:28] 它期待我們有新產品的時候
[58:31] 你的品牌慢慢就開始成形了
[58:34] 好這個時候
[58:35] 我們就可以開始做品牌這樣
[58:38] 然後第三個階段叫做建立團隊
[58:46] 所以我剛又回到
[58:47] 我一開始講的這個故事
[58:49] 我們一開始的時候
[58:51] 不是有講到我當時在網路上賣蛋糕
[58:54] 好賣蛋糕的時候
[58:55] 其實是賣得出去的
[58:58] 但是
[59:00] 是我不想要做那麼累
[59:02] 好然後後來
[59:03] 我在之前的時候
[59:05] 跑去
[59:07] 請教這個電商的大老闆
[59:09] 跟他講的這個故事
[59:10] 然後他就跟我講說
[59:12] 我當時
[59:14] 我就是沒有團隊
[59:16] 因為這邊它就是
[59:18] 急生單單生機的問題
[59:20] 因為如果我的問題
[59:22] 不是賣不掉
[59:23] 而是我不想要生產那麼累
[59:25] 其實這個時候
[59:26] 我又發現
[59:27] 我不是一個專業的周蛋糕的人
[59:30] 我最好的方式就是我出去
[59:33] 帶更多訂單進來
[59:35] 讓另外一個專業的人
[59:37] 再加把它生產出來這樣
[59:39] 然後所以第三個部分的時候
[59:41] 建立你的團隊
[59:43] 然後第四個部分的時候
[59:45] 才叫做異業結合這樣
[59:52] 然後所以
[59:54] 有一些朋友
[59:55] 可能一開始
[59:57] 剛開始創業的時候
[59:59] 你的產品還沒有
[01:00:01] 賣得非常順利
[01:00:02] 你就一天到晚跑出去
[01:00:04] 然後跟別人做異業結合
[01:00:06] 然後這個時候
[01:00:08] 你可能要先思考我出去
[01:00:10] 不是做異業結合
[01:00:11] 我是出去是想辦法
[01:00:13] 把我的產品賣更多出去
[01:00:15] 當這些東西
[01:00:16] 跟非常順利之後
[01:00:18] 接下來才做異業結合這樣
[01:00:21] 因為異業結合
[01:00:23] 它有可能會讓你原本你的產品
[01:00:26] 如果你的產品
[01:00:27] 還沒有說賣得很順手
[01:00:29] 你有可能會
[01:00:30] 我做另外一個新的異業結合
[01:00:33] 讓我原本的
[01:00:35] 本業或者是我主力的銷售產品
[01:00:38] 會下滑這樣
[01:00:39] 所以我們一定要讓主力的產品
[01:00:42] 都賣得很順
[01:00:43] 又有品牌效益
[01:00:44] 反正對你建立起來之後
[01:00:46] 然後第四步才做異業結合這樣
[01:00:49] 然後在這邊跟大家分享
[01:00:51] 就是說這個創業的幾個階段這樣
[01:00:54] 然後這個時候
[01:00:57] 我們來看一下
[01:01:01] 好
[01:01:03] 那我們回到頭影片
[01:01:06] 在這邊會有一個品牌迷思
[01:01:08] 就是品牌有一個金句
[01:01:11] 跟大家分享
[01:01:12] 就是
[01:01:13] 品牌就是客戶覺得你有
[01:01:16] 你才有
[01:01:17] 如果客戶覺得你沒有的話
[01:01:20] 你就沒有
[01:01:21] 對
[01:01:22] 因為我有時候
[01:01:23] 我出去我遇到有一些老闆
[01:01:25] 他們會認為說它的產品很棒
[01:01:27] 然後它會想說
[01:01:29] 打一個它它品牌這樣
[01:01:32] 對
[01:01:33] 然後但是
[01:01:34] 當這個廣告出去完
[01:01:37] 如果客戶腦袋沒有這個品牌的時候
[01:01:41] 它其實跟一般的產品是一模一樣
[01:01:44] 人家不會因為
[01:01:46] 你有這個特別的品牌
[01:01:48] 增加你的購買
[01:01:50] 對
[01:01:51] 然後所以在這邊
[01:01:53] 再一次的呼應一下
[01:01:54] 第一步我們一定要想辦法的
[01:01:56] 就是把產品賣更多出去
[01:01:58] 然後把錢收回來
[01:01:59] 然後當累積夠多的時候
[01:02:01] 你的品牌會自然而然的
[01:02:03] 會累積起來
[01:02:05] 對
[01:02:06] 然後所以這個時候
[01:02:07] 客戶就會覺得
[01:02:08] 你有這個品牌了
[01:02:10] 然後
[01:02:11] 這個品牌的這個效益
[01:02:13] 就會開始慢慢建立起來這樣
[01:02:16] 然後那接下來
[01:02:18] 我們講到
[01:02:19] 品牌三例的
[01:02:21] 第三個就是行銷例
[01:02:25] 然後行銷呢
[01:02:27] 它就是如何去說故事
[01:02:29] 如何包裝產品
[01:02:31] 然後如何讓產品
[01:02:32] 可以變得更好賣這樣
[01:02:34] 所以
[01:02:37] 像我
[01:02:39] 我們
[01:02:41] 如果質效行銷
[01:02:42] 第一步之後呢
[01:02:43] 我們就是開始去
[01:02:45] 了解我們的客戶
[01:02:50] 在這邊我分享一個故事給大家
[01:02:52] 就是在
[01:02:54] 在這個
[01:02:56] 蝙蝠俠嘛
[01:02:57] 它是在這個
[01:02:58] 很多的
[01:02:59] 超人裡面
[01:03:00] 它是沒有超人的
[01:03:01] 它是沒有超人力的這樣
[01:03:05] 那
[01:03:06] 有一次
[01:03:07] 其他的這個
[01:03:08] 超級英雄就問他說
[01:03:09] 那你的超人力是什麼
[01:03:11] 那你們猜一下
[01:03:12] 蝙蝠俠它
[01:03:14] 它會回答它
[01:03:15] 超人力是什麼
[01:03:21] 有錢
[01:03:22] 對
[01:03:23] 這個大字
[01:03:24] 跟可能大家都知道嘛
[01:03:25] 所以
[01:03:27] 它是
[01:03:28] 蝙蝠俠超人力
[01:03:29] 就有錢
[01:03:30] 所以從這個故事我們知道什麼呢
[01:03:33] 就是如果
[01:03:35] 你的產品三例裡面呢
[01:03:37] 你沒有產品例
[01:03:38] 你沒有找到差異化賣點
[01:03:40] 你也不會做實勢
[01:03:41] 你也沒有找到認同
[01:03:43] 好
[01:03:44] 然後你自己呢
[01:03:45] 你的品牌力也不夠
[01:03:47] 到最後你要花很多在什麼
[01:03:49] 花很多在
[01:03:50] 行銷上面
[01:03:52] 行銷就是
[01:03:53] 找很多錢
[01:03:54] 我有一次去找這個
[01:03:56] 雙哥
[01:03:58] 就是那個
[01:03:59] BBG的老闆
[01:04:01] 然後他也是在做行銷顧問
[01:04:04] 然後他就有跟我講
[01:04:05] 就是說我當時就問他說
[01:04:07] 你們
[01:04:08] 接
[01:04:09] 客戶的時候會不會有一些哨選啊
[01:04:12] 有一些那個
[01:04:13] 產品真的不好賣的
[01:04:14] 你會把它
[01:04:15] 哨選掉
[01:04:16] 然後他就會講說
[01:04:17] 他們一開始在
[01:04:18] 跟客戶接觸的時候
[01:04:21] 第一個他會先去看這個老闆
[01:04:23] 我是不是真的熱愛我的產品
[01:04:26] 對啊
[01:04:27] 如果我不是那麼熱愛的產品的話
[01:04:28] 那可能
[01:04:30] 像他就會問我說
[01:04:32] 有一個老闆
[01:04:33] 他是做肥皂
[01:04:35] 他就會問那個老闆
[01:04:36] 就是說
[01:04:38] 你多久用你的肥皂
[01:04:41] 如果他不是天天用他的肥皂
[01:04:43] 他就會覺得
[01:04:44] 那是不是他沒有
[01:04:45] 那麼熱愛他自己的產品
[01:04:47] 那如果他的產品呢
[01:04:49] 也找不出這些
[01:04:51] 他一話賣點
[01:04:52] 那到最後
[01:04:53] 你就要花很多的錢來
[01:04:54] 打這樣
[01:04:56] 那所以行銷力呢
[01:04:58] 他就是讓產品
[01:04:59] 更好
[01:05:00] 賣的一個能力
[01:05:01] 這樣
[01:05:03] 好
[01:05:04] 所以我們從這些角度來看
[01:05:07] 但今天的這個
[01:05:09] 客人開始之前呢
[01:05:11] 這個
[01:05:12] 我跟主持人稍微聊了一下
[01:05:14] 就是
[01:05:16] 到底要如何做好這個行銷
[01:05:18] 行銷有一個
[01:05:19] 非常重要的部分
[01:05:20] 就是你要
[01:05:21] 講客戶懂的話
[01:05:22] 也就是行
[01:05:23] 話這樣
[01:05:24] 有一次呢
[01:05:25] 我跟我
[01:05:26] 哥出去我哥是
[01:05:27] 貨車司機
[01:05:28] 然後他在這個
[01:05:30] 冰檔餐
[01:05:32] 我們去買這個水
[01:05:33] 他那時候
[01:05:34] 跟冰檔餐
[01:05:35] 就是說我要大水
[01:05:36] 我很想說
[01:05:37] 第一次聽到
[01:05:38] 什麼叫大水這樣
[01:05:40] 大水就是那種
[01:05:41] 大罐的這個
[01:05:42] 碰捲水
[01:05:43] 然後小水呢
[01:05:44] 就是
[01:05:45] 比較小的
[01:05:46] 像這樣子
[01:05:47] 那麼小罐的水這樣
[01:05:49] 然後這個呢
[01:05:50] 就是
[01:05:51] 他們司機裡面
[01:05:52] 會講的話
[01:05:53] 比較行的話
[01:05:54] 然後所以
[01:05:55] 第一個部分
[01:05:57] 你了不了解你的客戶
[01:06:00] 你的
[01:06:01] 產品是賣給誰的
[01:06:03] 你要去瞭解
[01:06:04] 如果你是賣給司機的時候
[01:06:06] 你已經講說
[01:06:07] 我今天我賣的這個水呢
[01:06:09] 他是從
[01:06:10] 阿爾輝斯山的
[01:06:11] 這個
[01:06:12] 什麼
[01:06:13] 什麼
[01:06:14] 什麼
[01:06:15] 什麼水
[01:06:16] 哇 講得很厲害
[01:06:17] 但是他
[01:06:18] 他懂得就是大水
[01:06:20] 跟小水
[01:06:21] 所以這個時候呢
[01:06:23] 你就沒有講他的行話
[01:06:24] 他就會覺得
[01:06:25] 好 關我PC這樣
[01:06:29] 我喝一下水這樣
[01:06:35] 然後所以我們
[01:06:36] 行效力的部分
[01:06:38] 我們如何把
[01:06:39] 產品變得
[01:06:40] 更好賣
[01:06:42] 那這邊我們會做
[01:06:43] 幾個部分
[01:06:44] 第一個就是產品定位
[01:06:45] 我們產品
[01:06:47] 我會去列出來
[01:06:49] 我們產品
[01:06:51] 優勢在哪裡
[01:06:52] 如果跟
[01:06:53] 市場上其他的
[01:06:55] 這個
[01:06:56] 進品來講
[01:06:58] 他是不是有不一樣的地方
[01:06:59] 這是產品定位
[01:07:00] 那客戶定位呢
[01:07:01] 就像我剛才講的
[01:07:02] 我們鎖定的
[01:07:04] 這個客戶到底是誰
[01:07:08] 像我們剛才不是有講到
[01:07:10] 我們緊整
[01:07:11] 緊整我們鎖定的客戶
[01:07:12] 就是這個
[01:07:14] 小資族
[01:07:16] 跟
[01:07:17] 當務客的女性
[01:07:18] 他就是不一樣
[01:07:21] 然後還有
[01:07:22] 各位大家會
[01:07:23] 學習各種行教方法
[01:07:25] 讓你的產品變得
[01:07:26] 更好賣
[01:07:27] 讓學習廣告
[01:07:28] 學習文案
[01:07:30] 或者是學習
[01:07:31] 我們如何把素材
[01:07:32] 做出來了
[01:07:33] 這些
[01:07:34] 他都是在行效力
[01:07:35] 這個部分
[01:07:38] 那所以
[01:07:39] 現在大家可以
[01:07:40] 來思考一下
[01:07:41] 那什麼是
[01:07:42] 網路行銷呢
[01:07:47] 大家可以
[01:07:48] 把你的答案
[01:07:49] 把它
[01:07:50] 打在這個
[01:07:52] 聊天的這個部分
[01:07:57] 也覺得客戶的痛點
[01:07:59] 好這個
[01:08:01] 還不錯
[01:08:05] 但是我等一下
[01:08:06] 給答案啊
[01:08:07] 其實是更簡單的
[01:08:08] 對
[01:08:09] 讓全世界認識你
[01:08:14] 好
[01:08:15] 然後我這邊給答案啊
[01:08:16] 其實我沒有想到那麼多
[01:08:17] 就是
[01:08:18] 透過網路的工具
[01:08:20] 讓產品變得更好賣
[01:08:21] 因為你看喔
[01:08:22] 我們剛剛講的行銷力
[01:08:23] 它是讓產品
[01:08:24] 變更好賣的
[01:08:25] 能力嘛對不對
[01:08:27] 那我們
[01:08:29] 網路行銷
[01:08:30] 它就是兩個
[01:08:31] 第一個叫做網路
[01:08:32] 第二個呢
[01:08:33] 叫做行銷
[01:08:34] 那所以
[01:08:35] 就是透過網路的工具
[01:08:37] 讓產品變得更好賣
[01:08:38] 所以
[01:08:39] 如果你在學習網路行銷的時候
[01:08:40] 你可以去思考一下
[01:08:42] 有兩個部分
[01:08:43] 第一個就是行銷
[01:08:45] 對
[01:08:46] 行銷呢
[01:08:47] 基本上它大同小異
[01:08:49] 就是你會做實際產業行銷
[01:08:52] 搬到網路上來
[01:08:54] 它的很多概念都是一樣的
[01:08:56] 行銷常常講的
[01:08:58] 就是說我們要做胖為思考
[01:09:00] 像剛剛這個
[01:09:02] 有朋友講到的
[01:09:03] 就是解決客戶的痛點
[01:09:05] 對
[01:09:06] 然後所以在這邊
[01:09:07] 跟大家分享
[01:09:08] 就是客戶它要有什麼
[01:09:09] 它就是
[01:09:10] 最後回到人性
[01:09:11] 它就是解決兩個問題
[01:09:13] 第一個就是
[01:09:15] 解決它的痛點
[01:09:17] 另外一個呢
[01:09:18] 就是讓它更快樂
[01:09:19] 因為人的一身
[01:09:21] 都要解決這兩個問題
[01:09:23] 好地痛苦
[01:09:25] 跟增加快樂
[01:09:27] 對
[01:09:28] 所以
[01:09:29] 這個就是行銷的部分
[01:09:31] 另外一個部分呢
[01:09:33] 就是網路工具
[01:09:35] 然後所以
[01:09:36] 如果你在學習網路行銷了
[01:09:38] 別人在問說
[01:09:39] 那你在學習什麼
[01:09:40] 它可以分成兩大區塊
[01:09:42] 第一個就是我學習如何做行銷
[01:09:44] 也就是我們前面講到的
[01:09:47] 如何讓我們的客戶覺得透過我的產品之後
[01:09:50] 我可以脫離痛
[01:09:51] 或者是我可以得到更多的快樂
[01:09:54] 然後另外一個部分呢
[01:09:55] 就是學習如何運用網路工具
[01:09:58] 對
[01:09:59] 然後所以這個部分
[01:10:00] 就是網路行銷它的一個概念
[01:10:03] 好
[01:10:05] 所以各位朋友
[01:10:07] 你在這邊回答的
[01:10:08] 就是透過網路銷售產品
[01:10:10] 這也是沒有錯的
[01:10:11] 因為
[01:10:13] 這邊網路銷售就是一個網路工具
[01:10:16] 然後把你的產品推廣出去呢
[01:10:18] 它就是行銷
[01:10:19] 那這邊層次好有講到
[01:10:21] 就是透過網路達成提升業績的結果
[01:10:24] 那這個也是沒有錯的
[01:10:37] 什麼
[01:10:40] 天鮮
[01:10:44] SG-O5602有幫我們打出來
[01:10:48] 人家醫生都在追求兩件事情
[01:10:51] 就是討历痛苦跟追求快樂
[01:10:53] 然後我在這邊跟大家分享一下
[01:10:56] 你看
[01:10:58] 如果人家醫生都在追求
[01:11:03] 好這邊好像有一些朋友
[01:11:05] 有類一個的狀況這樣
[01:11:07] 好
[01:11:08] 如果沒有問題的話
[01:11:09] 我這邊再繼續想下去
[01:11:11] 你看如果所有人都在追求這兩件事情
[01:11:14] 就是
[01:11:15] 討历痛苦跟追求快樂
[01:11:18] 如果呢
[01:11:19] 我可以讓
[01:11:21] 這個受眾
[01:11:22] 我們設定的受眾知道
[01:11:24] 後過了我的產品之後
[01:11:26] 可以讓你討历痛苦跟
[01:11:29] 得到更多快樂
[01:11:31] 那它是不是就有可能會
[01:11:34] 拿錢來跟我們交換
[01:11:38] 這邊是來不是
[01:11:42] 可以大家幫我打在
[01:11:44] 對
[01:11:45] 好
[01:11:46] 那我再問大家一個問題
[01:11:48] 那當它開始把錢
[01:11:51] 它要出來跟我買產品的時候
[01:11:54] 那它會覺得快樂還是痛苦
[01:11:59] 所以大家幫我
[01:12:01] 來聊天室這邊
[01:12:03] 等一下好
[01:12:05] 我我知道大家可能有誤解我的這個
[01:12:11] 可能我說的不夠好這樣
[01:12:13] 當它開始要把錢
[01:12:15] 掏出來給我的時候
[01:12:16] 它的錢變少了
[01:12:18] 然後我的錢
[01:12:20] 變多了
[01:12:21] 對
[01:12:22] 好啦
[01:12:23] 所以這個時候它可能會有痛苦嘛
[01:12:25] 因為它的錢變少
[01:12:27] 所以我們在行銷上面
[01:12:29] 最重要的一件事情
[01:12:31] 就是讓它知道
[01:12:33] 它花錢
[01:12:35] 錢變少的這個痛苦
[01:12:37] 就比它的
[01:12:38] 快樂還要少很多的
[01:12:41] 這個時候它在做這個交換的時候
[01:12:44] 這個成交就會發生
[01:12:47] 這樣大家有了解嗎
[01:12:54] 對
[01:12:55] 然後所以這邊就是看產品帶來
[01:12:57] 快樂是不是會超過花錢說
[01:13:00] 超過花錢的痛苦
[01:13:02] 對這就沒有錯
[01:13:03] 然後所以我們在行銷上面
[01:13:05] 我們在做的是什麼
[01:13:08] 我們就是透過前面我們講的這個部分
[01:13:11] 我的透過產品定位
[01:13:13] 我透過客戶定位
[01:13:15] 然後
[01:13:16] 文案
[01:13:17] 或者是我們素材到底要怎麼寫呢
[01:13:20] 我們就是要讓客戶知道
[01:13:23] 哇
[01:13:24] 原來你的痛苦這麼痛苦
[01:13:26] 透過我的產品
[01:13:28] 之後你可以得到的快樂
[01:13:30] 可以拉這個
[01:13:32] Gave可以差那麼多
[01:13:34] 然後最後我們的提案
[01:13:36] 才出來
[01:13:37] 讓它覺得說
[01:13:38] 原來你跟我交換你花的這個錢
[01:13:42] 只要少少一點點
[01:13:43] 你卻得到這麼大的快樂
[01:13:45] 對
[01:13:46] 然後在這邊有朋友是寫到
[01:13:49] 就是創造價值很高
[01:13:50] 快樂
[01:13:51] 付出成本很低
[01:13:53] 對
[01:13:54] 所以這個就是我們行銷上面
[01:13:56] 非常核心的一個部分
[01:13:58] 所以像我
[01:14:00] 我們公司在做銷售業的時候
[01:14:03] 我們都會走這一個路
[01:14:05] 就是我們先去設定
[01:14:06] 就是說
[01:14:07] 這個客戶他到底是誰
[01:14:10] 那客戶看到我們產品的時候
[01:14:14] 他原本是有哪些痛苦
[01:14:17] 然後我們這個時候
[01:14:19] 我會用一個
[01:14:21] 我們叫
[01:14:22] 在文案裡面常見的
[01:14:24] 叫做PS
[01:14:25] 對
[01:14:28] 然後這個C呢
[01:14:31] 就是痛苦
[01:14:35] 然後A呢
[01:14:39] A呢
[01:14:42] 我們稱之為就是
[01:14:44] 在當口上面傻眼
[01:14:47] 就是讓痛苦更痛的意思
[01:14:50] 讓
[01:14:52] 這邊
[01:14:54] 你們會看不到嗎
[01:14:56] 對
[01:14:59] 也就是
[01:15:01] SGO560
[01:15:03] 講到的就是強化痛點
[01:15:06] 好
[01:15:07] 那我用講的好了
[01:15:09] 然後第三個S呢
[01:15:10] 就是解放
[01:15:12] 對
[01:15:13] 然後所以我們透過簡單的這個
[01:15:15] PS
[01:15:17] 這一個就是我們常見的
[01:15:19] 我在銷售業裡面
[01:15:20] 會用模板這樣
[01:15:22] 那所以
[01:15:24] 我在做銷售業的時候
[01:15:26] 他就是透過這個行銷的方式
[01:15:28] 讓他從一開始進來的時候
[01:15:30] 讓他覺得透過我的產品
[01:15:32] 可以讓他得到更快樂
[01:15:34] 所以
[01:15:36] 第一步
[01:15:38] 標題我會先做一個
[01:15:41] 讓他一看到
[01:15:43] 就會很想要往下看的
[01:15:45] 一個部分
[01:15:47] 然後第二個呢
[01:15:49] PAS就會出來了
[01:15:51] 那我先讓他知道
[01:15:53] 他在還沒有
[01:15:55] 產品之前
[01:15:57] 他會有怎麼樣痛苦
[01:15:59] 然後呢
[01:16:01] 讓他的痛苦更痛
[01:16:03] 去戳他的痛點
[01:16:05] 然後這個時候呢
[01:16:07] 我可能會用條列式的方式
[01:16:09] 這個我們叫
[01:16:11] BOLLELET
[01:16:13] 就是像子彈
[01:16:15] 打上去那彈孔一樣
[01:16:17] 對
[01:16:18] 然後這個條列式
[01:16:19] 像我這一個產品定位
[01:16:21] 客戶定位
[01:16:23] 各種行銷方法
[01:16:24] 條列式的方法
[01:16:25] 去戳他的痛點
[01:16:26] 讓他覺得很痛的時候
[01:16:28] 我們的解方
[01:16:30] 跟著出來
[01:16:32] 然後我解方跟著出來之後呢
[01:16:35] 我接下來
[01:16:36] 大家腦袋就會想說
[01:16:38] 都你講
[01:16:39] 這個東西這麼好
[01:16:40] 所以這個時候
[01:16:41] 接著
[01:16:42] 就是增加一些證明
[01:16:44] 證明的方式呢
[01:16:46] 可以有幾種
[01:16:48] 第一種
[01:16:49] 就是使用的見證
[01:16:51] 對
[01:16:54] 然後或者是呢
[01:16:55] 如果我們產品
[01:16:57] 有一些認證的話
[01:16:59] 我們可以把
[01:17:00] 產品認證把它放上來
[01:17:03] 對
[01:17:04] 然後後面呢
[01:17:06] 我可以做
[01:17:08] 對一點快樂的部分
[01:17:12] 然後只要我們有講出快樂
[01:17:14] 或者是
[01:17:16] 減少他的痛苦的部分
[01:17:18] 我們就可以再提出另外一個證明
[01:17:21] 好
[01:17:27] 對 然後在這邊
[01:17:29] 就是
[01:17:30] 對一點快樂
[01:17:32] 對一點
[01:17:33] 或者是他解決
[01:17:34] 痛苦的部分這樣
[01:17:36] 然後最後呢
[01:17:38] 我們才讓他知道
[01:17:40] 這個產品他的
[01:17:42] 是不是會有
[01:17:44] 滿意保證
[01:17:45] 這個也是增加
[01:17:47] 就是
[01:17:49] 他掏錢的時候
[01:17:51] 他會覺得
[01:17:52] 他可能會被騙
[01:17:54] 那我的滿意保證是什麼
[01:17:56] 好
[01:17:57] 這個就是我們
[01:17:58] 在做銷售業上面的
[01:18:00] 提案的方式這樣
[01:18:04] 好
[01:18:06] 那所以在這邊
[01:18:07] 我們有講到
[01:18:08] 就是
[01:18:11] 那當我們
[01:18:13] 把這個
[01:18:14] 產品的部分已經
[01:18:17] 做好了之後呢
[01:18:19] 那接下來就是會
[01:18:20] 開始放到一個地方去買
[01:18:22] 所以這個時候呢
[01:18:24] 我們叫銷售系統
[01:18:26] 放對地方呢
[01:18:27] 他才會好賣這樣
[01:18:28] 好
[01:18:29] 那我們跟大家
[01:18:31] 分享一些部分
[01:18:33] 然後在這邊我跟大家講
[01:18:34] 就是我剛才不是有
[01:18:36] 說我一開始學習的時候
[01:18:37] 我是學習價占這樣
[01:18:39] 對 然後所以
[01:18:40] 在這邊我跟大家分享
[01:18:42] 就是一開始
[01:18:44] 不建議你學習價占
[01:18:46] 原因是什麼呢
[01:18:48] 因為現在呢
[01:18:49] 已經有
[01:18:50] 非常多的套裝軟體
[01:18:52] 除非你自己本身
[01:18:53] 就是網路工程師
[01:18:54] 網站工程師這樣
[01:18:56] 對啊
[01:18:57] 因為我一開始
[01:18:58] 我是學我
[01:18:59] Price
[01:19:00] Price
[01:19:01] 我有一次
[01:19:02] 就是我
[01:19:03] 我的產品還在上面賣
[01:19:05] 然後最後呢
[01:19:07] 有一天突然網站掛掉
[01:19:09] 我不是工程師
[01:19:11] 然後我完全無法解決這個問題
[01:19:13] 然後我還
[01:19:14] 當時只是解決這個問題
[01:19:15] 我就花了非常多時間這樣
[01:19:17] 現在呢
[01:19:18] 已經有非常多的套裝系統
[01:19:20] 然後所以
[01:19:22] 直接用套裝系統就好了
[01:19:23] 如果你是剛開始創業的話
[01:19:25] 因為
[01:19:26] 我們回過頭來想
[01:19:28] 我們第一步要做的是什麼
[01:19:30] 就是想辦法把產品
[01:19:31] 賣出去
[01:19:32] 如果你花太多時間在價占
[01:19:35] 他並沒有辦法幫助你
[01:19:37] 把產品賣得更好
[01:19:39] 因為這些套裝平台呢
[01:19:41] 其實都已經
[01:19:42] 非常好用
[01:19:44] 然後在這邊分享一些部分
[01:19:46] 就是如果你是做電商創業
[01:19:49] 我們
[01:19:52] 來看一下
[01:19:53] 剛在前面有一些朋友
[01:19:54] 他是
[01:19:55] 賣蛋糕的
[01:19:57] 然後當然呢
[01:19:59] 如果你是
[01:20:00] 做服務的話
[01:20:02] 你也可以參考一下
[01:20:03] 如果我們是做電商創業的話
[01:20:05] 會有一個形態
[01:20:07] 第一個就是個人網牌
[01:20:08] 這個是
[01:20:09] 武力電商
[01:20:10] 第三個品牌電商
[01:20:11] 個人網牌是什麼
[01:20:13] 就是我利用別人的品牌來賣
[01:20:16] 當然你看
[01:20:18] 如果像蝦皮
[01:20:20] PZ Hone
[01:20:22] 就是
[01:20:24] 如果你是提供服務
[01:20:25] 有沒有一些品牌
[01:20:27] 他是我直接放在上面
[01:20:30] 上面就有一些人在廣
[01:20:32] 就是在找這些服務的
[01:20:34] 如果你有的話
[01:20:35] 你有找到這樣品牌
[01:20:36] 直接放在上面
[01:20:37] 你就解決掉系統的問題
[01:20:40] 然後第二個
[01:20:41] 部分的就是
[01:20:43] 獨立電商
[01:20:44] 就是我自己嫁了一個網站來賣
[01:20:46] 這個時候呢
[01:20:47] 就分成兩種
[01:20:48] 第一種叫做
[01:20:50] 三頁式銷售
[01:20:52] 另外一種呢
[01:20:53] 叫做
[01:20:54] 多產品的官網式的銷售
[01:20:57] 第三種呢
[01:20:58] 才叫做品牌電商
[01:21:00] 對
[01:21:01] 然後品牌電商呢
[01:21:02] 就是
[01:21:03] 這三個
[01:21:04] 他玩的東西其實不太一樣
[01:21:05] 因為我們等一下
[01:21:06] 後面講要留兩種手
[01:21:07] 還會再講到
[01:21:08] 所以我在這邊
[01:21:09] 就稍微先講到
[01:21:11] 我要放在哪裡
[01:21:12] 如果你是
[01:21:13] 一開始創業
[01:21:15] 也是做電商
[01:21:16] 你是就選品
[01:21:17] 你有
[01:21:18] 你有一個產品想要賣
[01:21:20] 起步最快的方法
[01:21:22] 你就是直接去
[01:21:24] 下皮
[01:21:25] 直接開個帳號
[01:21:26] 直接放上去
[01:21:27] 因為呢
[01:21:29] 他已經解決我的系統
[01:21:31] 要問題
[01:21:32] 他已經解決了什麼
[01:21:33] 我的流量問題
[01:21:34] 流量後面有點要會講
[01:21:36] 然後第二個部分呢
[01:21:37] 我們才考慮
[01:21:38] 就是直接用一夜式
[01:21:40] 也是獨立出來這樣
[01:21:42] 然後第三個部分呢
[01:21:43] 才是
[01:21:44] 還未來就
[01:21:45] 品牌電商
[01:21:47] 然後在這邊我們分享一下
[01:21:49] 如果我們是做電商
[01:21:51] 你只要
[01:21:52] 要在網路上直接收錢的話
[01:21:55] 那這種呢
[01:21:56] 有我們選擇系統
[01:21:57] 有哪些重點
[01:21:59] 第一個
[01:22:00] 一定要進入流量好穿戒
[01:22:02] 然後第二個呢
[01:22:03] 就是項處追蹤方便
[01:22:05] 然後在這邊
[01:22:06] 有沒有大家
[01:22:07] 不知道項處是什麼東西了
