[00:00] 你是深信念老師
[50:04] 好最後是主動開發
[50:06] 有些人說我如果不想要去呃
[50:08] 追求流量的話有沒有
[50:10] 有沒有方式去這個取捨呢
[50:12] 其實也有的
[50:13] 但是很累不推薦
[50:15] 就是用主動開發的方式
[50:17] 主動開發方式就是說
[50:19] 如果你想要
[50:21] 不想要就是搞
[50:22] 不想要搞流量
[50:23] 好你要
[50:24] 你要搞
[50:25] 搞判斂要很累的話也可以
[50:27] 我跟你講一個方式
[50:28] 就是你可以去寫一些
[50:29] 很精準的內容
[50:31] 然後就寫一些很專業的文章
[50:33] 沒有人按讚的
[50:34] 就一直寫一直寫
[50:35] 空卸
[50:35] 然後把你版面塞滿這些文章
[50:37] 然後最後你就是主動去
[50:39] 思緒你想要去
[50:40] 服務的對象或是品牌
[50:42] 跟他說
[50:42] 哎我我我我我提供這服務
[50:45] 然後他就會點自己點進去你的這個
[50:47] 版面看
[50:48] 看一看說哇你真的是
[50:49] 的確是很專業
[50:51] 好那就 ok
[50:52] 好成交
[50:53] 這樣
[50:54] 不推薦因為很累
[50:55] 就善用平台特性
[50:57] 有量搞就是去
[50:58] 去去導一些流量
[51:02] 好
[51:02] 那今天的重點是什麼呢
[51:05] 今天重點是
[51:06] 哦我覺得大家這邊講了
[51:08] 很多很多的重點
[51:09] 但是我覺得最重要還是要去
[51:11] 呃掌握一個
[51:13] 關鍵的節點
[51:15] 關鍵節點是什麼
[51:16] 我覺得大家可以回想一下
[51:17] 你今天學到什麼
[51:18] 那我幫你們複習一下
[51:20] 最重要的是
[51:21] 你要知道這個架構
[51:22] 金字塔架構就是脆的
[51:24] 油量
[51:25] 到變現
[51:27] 最後這道產品
[51:28] 這個東西它就是一個完整的流程
[51:31] 你前面沒做好後面就不會順
[51:33] 前面做好後面就水到取成
[51:35] 這就是在架構
[51:37] 從邏輯
[51:38] 油量
[51:39] 到這個
[51:41] 有邏輯定位到流量
[51:43] 就要變現
[51:44] 就是一個
[51:45] 金字塔一個一條線的
[51:47] 然後最後是特色思維
[51:49] 你
[51:50] 這也是裡面最關鍵最關鍵點
[51:52] 所以為什麼把他拉出來
[51:53] 幫你做字界的漸進
[51:55] 就是因為你字界如果寫不好的話
[51:57] 那一輩子最終都不會講
[51:59] 所以你就要去理解說
[52:01] 什麼是好的字界
[52:02] 那你要怎麼樣聚焦你的定位
[52:04] 然後先想清楚你到底要
[52:06] 提供什麼產品
[52:07] 這就是特色
[52:09] 字界的特色思維
[52:10] 然後最後就是你要去區分
[52:12] 這個文章的種類有三個軍隊的
[52:15] 不同的東西
[52:16] 第一個是地軍
[52:17] 第二是空軍
[52:19] 第三個是
[52:20] 空軍地軍海軍
[52:22] 你要在
[52:22] 吹上面平常在口罰的時候
[52:24] 你就要有辦法區分說
[52:25] 這邊文章它到底是空軍
[52:27] 還是地軍
[52:28] 還是海軍
[52:29] 當你有辦法去區分的時候
[52:31] 你才有辦法自己寫出來才知道
[52:33] 你在做什麼事情
[52:34] 你才知道接下來你寫的東西
[52:36] 那是什麼意思
[52:37] 這個剛剛講的那個什麼策略
[52:39] 17個策略你都可以忘記
[52:41] 或是你
[52:42] 投影片你有興趣說你在附習
[52:45] 慢慢吸收
[52:45] 但是你要
[52:46] 首先要記得就是這個空地海
[52:49] 這個東西它到底是什麼東西
[52:52] 那你什麼時候要用什麼
[52:53] 這個東西我們群組裡面也可以討論
[52:56] 這個這個是最重要
[52:58] 然後最後是
[53:00] 呃變現思維
[53:01] 它其實就關鍵者一個
[53:03] 他只要你
[53:04] 就是水到渠成
[53:06] 就是你要把公開領域的流量
[53:08] 轉換到私人領域
[53:10] 我覺得這是一個
[53:11] 壓力比較小的方式
[53:12] 其實不管你在做什麼自媒體
[53:14] 或是你在做任何的服務
[53:16] 其實我覺得這都是一個
[53:18] 很底層的邏輯
[53:19] 也都是有用的
[53:20] 所以你這個可以應用在任何面向上面
[53:23] 叫做
[53:24] 私域運營
[53:25] 公寓轉私運
[53:27] 好
[53:30] 好那最後呢
[53:32] 就是今天課程
[53:34] 很開心
[53:35] 也算是蠻準時的
[53:36] 三個小時左右到了最後一頁
[53:39] 那邀請大家呢
[53:40] 今天
[53:41] 我邀請大家就是分享
[53:43] 你們今天的這個
[53:44] 今天
[53:45] 稍微思考一下
[53:47] 或是你看一下你剛做的領記
[53:49] 去想想今天學到的東西
[53:51] 然後把它分享在
[53:53] 這個槌上面
[53:55] 因為根據我的經驗
[53:56] 在槌上面分享槌的功率
[53:58] 是流量會非常好的一個主題
[54:00] 那這個也是一個
[54:01] 貢獻的方式
[54:02] 你也是在幫助我去
[54:04] 累積我的口碑
[54:05] 那既對你自己也是好的
[54:07] 是雙贏
[54:08] 然後你也可以發在群組裡面
[54:11] 群組裡面就是
[54:12] 會我會給你一些回饋
[54:14] 這樣子對你來說也是一個額外的
[54:16] 可以得到很多的
[54:18] 呃V備的一個方式
[54:20] 好那
[54:22] 今天課程我們就差不多到到這邊了
[54:25] 那就謝謝大家今天的參與
[54:27] 後續的話我們會再辦
[54:29] 我在跟Dennis討論
[54:30] 我們辦一些實體的活動
[54:31] 讓大家出來交流
[54:33] 因為會比較輕鬆
[54:34] 今天
[54:35] 真的內容真的太多了
[54:36] 最後
[54:37] 後面講比較快
[54:38] 但是我覺得
[54:39] 都講得算是蠻清楚
[54:41] 有什麼問題我們在社團裡面在
[54:43] 好好地交流
[54:44] 現在
[54:45] 非常感謝大家今天來參加課程
[54:47] 謝謝大家
[54:48] 希望大家都可以在後續
[54:49] 跟在
[54:50] 經營上有好的成果
[54:52] 拜拜
