[00:00] 我真的不知道為什麼我在路上遇到綠色和平
[01:00:14] 就是疯狂有很多人留言说
[01:00:16] 他们
[01:00:17] 这个也有很多
[01:00:18] 什么个人特殊人力
[01:00:19] 而且都写的非常乐乐的
[01:00:21] 非常认真在写
[01:00:22] 那这篇文章真的还蛮有趣的
[01:00:24] 就是
[01:00:25] 我觉得如果
[01:00:26] 我可能
[01:00:27] 可以去用这个
[01:00:28] 去做一个陌生咖啡
[01:00:29] 去找
[01:00:30] 对这个很多蛮
[01:00:31] 他们有蛮多奇怪的
[01:00:32] 还蛮特殊的
[01:00:34] 好冷
[01:00:34] 对
[01:00:35] 我看一下我再看一下
[01:00:36] 看一下往下滑一下
[01:00:38] 我的人力是
[01:00:40] 对蛮
[01:00:41] 蛮有趣的
[01:00:42] 我刚刚看到一些蛮蛮生气的
[01:00:44] 有些人是什么
[01:00:44] 缝赌必赢
[01:00:45] 缝赌必输
[01:00:46] 之类的
[01:00:48] 有
[01:00:49] 你有废话
[01:00:49] 不怕张朗
[01:00:50] 可以接受
[01:00:51] 这很厉害
[01:00:52] 我怕
[01:00:53] 我怕死了
[01:00:53] 对
[01:00:54] 我真的没办法接受
[01:00:58] 很很特别
[01:00:58] 所以就是这个是
[01:01:00] 一个案例
[01:01:01] 其实他大部分的文章
[01:01:02] 我觉得他也是还在
[01:01:03] 还有一些说故事的
[01:01:06] 说故事的人力上面
[01:01:07] 有一些在优化
[01:01:08] 因为他本身
[01:01:09] 尾刚跟我一样是一个
[01:01:10] 比较逻辑的
[01:01:11] 人
[01:01:12] 但是他在
[01:01:13] 我觉得他就是像他
[01:01:14] 最新那一篇
[01:01:15] 就是抓到一个法则
[01:01:16] 就是
[01:01:17] 同时是列点的文章
[01:01:19] 然后他也是写自己很
[01:01:20] 个人的一些特殊人力
[01:01:22] 然后也是让人家会觉得
[01:01:24] 很有趣
[01:01:24] 想要去互动
[01:01:25] 去分享的
[01:01:26] 所以你就是
[01:01:27] 你文章去引发别人
[01:01:28] 想要去
[01:01:29] 分享他的事
[01:01:30] 是很重要的
[01:01:31] 比方说我最近就发一个说我的
[01:01:33] 由来说我多少
[01:01:35] 然后还故意说
[01:01:36] 我说已经不可能
[01:01:36] 比我再更高了吧
[01:01:38] 那这样子
[01:01:38] 你就会
[01:01:39] 就比我更高了
[01:01:40] 你就会很想要再留言
[01:01:41] 来分享他就是比我更高
[01:01:43] 我当然也知道
[01:01:44] 有人比我更高
[01:01:44] 我又不是
[01:01:46] 我又不是那个
[01:01:47] 我不是智障
[01:01:48] 对
[01:01:48] 夏耶
[01:01:49] 哈哈哈哈
[01:01:52] 这没有录影
[01:01:53] 对
[01:01:53] 有有录影有录影
[01:01:54] 会回放
[01:01:55] 夏耶
[01:01:56] 好这个等一下
[01:01:57] 我们又幅又幅
[01:01:59] 再来没讲
[01:02:01] 好那又幅这个就是
[01:02:02] 他很很猛
[01:02:03] 就是
[01:02:04] 因为我是
[01:02:05] 一开始是先办
[01:02:05] 实体的工作坊
[01:02:06] 然后我第二场工作坊
[01:02:08] 的时候呢就有个人
[01:02:09] 跟我说
[01:02:10] 他说他想要报名
[01:02:11] 我就说啊
[01:02:12] 好
[01:02:12] 要报就报啊
[01:02:13] 他说可是他在南部
[01:02:15] 我就想说
[01:02:15] 啊南部
[01:02:16] 那很麻烦
[01:02:17] 然后不然
[01:02:18] 我为了为了先
[01:02:19] 有先在南部的好
[01:02:20] 加开这个
[01:02:21] 回放影片好了
[01:02:23] 他就说
[01:02:23] 可是他那天也不行
[01:02:25] 他
[01:02:25] 我说我加开一个直播
[01:02:26] 他说他那天也不行
[01:02:28] 我就说你那天也不行
[01:02:30] 好
[01:02:31] 不然我再加一个回放
[01:02:32] 我录完我直播完
[01:02:33] 我也把他录起来
[01:02:35] 然后他说
[01:02:36] 哦
[01:02:36] 然后我就说
[01:02:37] 可是我就是原价
[01:02:39] 因为我就是没有特别
[01:02:40] 要收你这个学生
[01:02:41] 然后他就说
[01:02:42] ok
[01:02:43] 我想说
[01:02:43] 他这样也ok哦
[01:02:45] 然后就他
[01:02:46] 我觉得他就是很猛
[01:02:47] 因为他那时候
[01:02:47] 其实追踪人数只有6000而已
[01:02:49] 然后
[01:02:50] 他就想说
[01:02:51] 我就我想说
[01:02:51] 你追踪人数已经6000 7000了
[01:02:53] 你你
[01:02:53] 你上什么课啊
[01:02:54] 就不用上啊
[01:02:55] 你也很厉害啊
[01:02:56] 对啊
[01:02:56] 然后他就说他要上
[01:02:58] 然后而且他真的把他看完
[01:02:59] 然后好像是认真看完的
[01:03:01] 然后很认真在
[01:03:02] 当时候
[01:03:03] 实体课程的群组里面跟我讨论
[01:03:05] 然后后来那个
[01:03:06] 线上课程的时候
[01:03:08] 他已经长到
[01:03:09] 好像89000了吧
[01:03:10] 然后我线上课程出的时候
[01:03:11] 我就问他说
[01:03:12] 我就问他说
[01:03:13] 我会不会折扣给之前的学生
[01:03:15] 折最多的
[01:03:16] 然后他就说
[01:03:17] 你要上吗
[01:03:17] 他说他也要上
[01:03:18] 我想说
[01:03:19] 太猛了吧
[01:03:20] 什么意思
[01:03:21] 所以我是觉得说
[01:03:22] 我那时候一个深刻感是不是
[01:03:23] 哦
[01:03:23] 优秀的人真的是
[01:03:25] 很愿意投资自己学习
[01:03:26] 而且他比别人更愿意
[01:03:29] 所以我就觉得很猛
[01:03:30] 那他我觉得他是
[01:03:32] 我那时候就跟幼虎说
[01:03:33] 我都愿意
[01:03:34] 愿意封予你为空军大将军
[01:03:36] 就是不用疯狂
[01:03:38] 一直在写空军的文章
[01:03:39] 所以他每个文章
[01:03:41] 都是非常空军的
[01:03:42] 但是我觉得幼虎的问
[01:03:44] 他的流量都非常高
[01:03:46] 而且追踪处甚至也都会
[01:03:48] 也一直这样子一直
[01:03:50] 平反写的情况下
[01:03:51] 也追踪处会长
[01:03:52] 我们我们看一下
[01:03:53] 他其他篇文章
[01:03:54] 好
[01:03:55] 给他看
[01:03:56] 他其实都是
[01:03:57] 他最近其实有修正
[01:03:58] 他的这个模式
[01:03:59] 所以就是流览率就变低了
[01:04:03] 他前面就是之前就很多
[01:04:05] 写一些什么列点的什么
[01:04:06] 什么财富自由的五个办法
[01:04:08] 或者是什么要怎么
[01:04:09] 怎么让自己
[01:04:11] 自由的什么东西
[01:04:12] 那他最近就是也在调整
[01:04:14] 所以就是
[01:04:15] 应该说他很
[01:04:16] 前面可以去看他以前的文章
[01:04:18] 他很擅长写空军
[01:04:19] 而且他的用字也很惊炼
[01:04:22] 那我相信他很多可能是
[01:04:23] 找其他地方推特来的
[01:04:25] 有可能是找推特
[01:04:26] 什么其他来的灵感
[01:04:27] 但是他可能也有自己去
[01:04:29] 调整过
[01:04:30] 那我就说我愿封你为空军
[01:04:32] 总司令
[01:04:33] 因为他真的很会写
[01:04:36] 对吧
[01:04:36] 然后一直追踪一直涨
[01:04:37] 从6000涨到1万1
[01:04:39] 真的很猛
[01:04:41] 但他这个问题
[01:04:42] 然后他自己有
[01:04:43] 他自己有个线上课程网站
[01:04:45] 他有很完整的一个
[01:04:46] 自己在网站上面一个销售的流程
[01:04:48] 所以大家也可以去参考
[01:04:50] 但他的问题就是说
[01:04:51] 他写
[01:04:52] 他可能自己
[01:04:53] 因为他是int
[01:04:54] 他跟我讲他是intj
[01:04:56] 就是非常最逻辑的那一种
[01:04:58] 那我也是
[01:04:59] 算是intj
[01:05:01] 所以我可以理解
[01:05:02] 就是他比较不擅长讲
[01:05:04] 比较情绪化或感觉的事情
[01:05:06] 那
[01:05:07] 这个东西就会让他的这个
[01:05:10] 年左
[01:05:10] 我觉得可能追踪数很高
[01:05:12] 可是年左度或精准度会比较低
[01:05:14] 就是不像是
[01:05:15] 那个
[01:05:16] 不一样就是可能比较多
[01:05:17] 是他的精准的粉丝
[01:05:18] 这样子
[01:05:19] 好
[01:05:19] 下一个
[01:05:20] 那他就是演優秀的
[01:05:21] 那这个是
[01:05:23] 这个
[01:05:24] 我的那个学妹
[01:05:25] 我十年前办读书会的时候
[01:05:27] 就来参加了
[01:05:28] 那他就是很会发
[01:05:30] 也是空军类型的
[01:05:32] 写一些很有趣的文章
[01:05:34] 我们来看一下
[01:05:35] 好
[01:05:38] 对
[01:05:38] 然后往下划
[01:05:40] 对
[01:05:40] 他就是
[01:05:42] 再往下往下
[01:05:44] 对
[01:05:44] 他其实很多拍
[01:05:46] 自拍照
[01:05:47] 可是流量也很高
[01:05:48] 为什么呢
[01:05:49] 我也不知道
[01:05:49] 大家知道吗
[01:05:54] 对生活感生活感
[01:05:56] 对
[01:05:56] 然后加上本
[01:05:57] 就是他自己也很正向
[01:05:59] 对外型也是这个
[01:06:01] 我觉得蛮不错的
[01:06:02] 对
[01:06:03] 然后
[01:06:03] 所以他就是
[01:06:04] 我觉得蛮
[01:06:05] 会分享生活的
[01:06:06] 所以如果你你想要走这种生活
[01:06:08] 或是
[01:06:08] 实际路线的话
[01:06:10] 我觉得蛮可以
[01:06:11] 参考的
[01:06:11] 因为我觉得他有自己的
[01:06:12] 这个社群的
[01:06:14] 敏感度
[01:06:15] 然后我们看一下他前面的那个
[01:06:17] 那个变现模式
[01:06:19] 他其实是走这个
[01:06:20] 比较像是
[01:06:21] 联盟新销
[01:06:22] 就是有人可能
[01:06:24] 他可能就是会给他一些王子啊
[01:06:26] 什么他就可以带那个王子去倒
[01:06:28] 倒销售
[01:06:28] 或者是有人找他业配
[01:06:29] 他可能去
[01:06:30] 发那个产品这样子
[01:06:31] 所以这也是一种
[01:06:32] 很可以参考的这个变现模式
[01:06:34] 那他的追踪数也
[01:06:36] 哇很多成长得很快
[01:06:38] 可能就是
[01:06:39] 很早就已经破译一万这样子
[01:06:41] 好
[01:06:41] 我们下一个
[01:06:44] 哎东东
[01:06:45] 东东今天是不是又来
[01:06:47] 对
[01:06:48] 就是优秀的案例
[01:06:52] 对对对
[01:06:54] 最近
[01:06:55] 不知道你做的还怎么样
[01:06:56] 但是我觉得这个还蛮优秀的
[01:06:58] 主要是我觉得你的这个
[01:07:00] 日介本身我觉得是蛮聚焦
[01:07:02] 很间接的
[01:07:03] 对
[01:07:04] 那我觉得可能可以加一些自己的
[01:07:06] 那种个性
[01:07:07] 会让人要比较
[01:07:08] 对这个人格有立体感
[01:07:11] 就是导向感
[01:07:12] 改版
[01:07:13] 改版
[01:07:13] 哦哦哦
[01:07:14] 有莫名讲冠军
[01:07:21] ok ok ok
[01:07:24] 对
[01:07:27] 跑起来
[01:07:28] 然后又问了AI
[01:07:30] 然后去喝茶的新茶
[01:07:31] 然后
[01:07:32] 趁快弄一个这个
[01:07:33] 然后再下来
[01:07:34] 好好好
[01:07:35] 现场把你再看一次
[01:07:36] 哈哈哈哈
[01:07:38] 气
[01:07:42] 我觉得现在有点这个
[01:07:45] 气管碩士路座行
[01:07:48] 呃
[01:07:48] 我觉得我觉得现在有点
[01:07:50] 有趣度过要素过多
[01:07:52] 哈哈哈哈
[01:07:54] 可是这
[01:07:54] 我觉得这两个可以
[01:07:56] 合成一个就好了
[01:07:57] 或是
[01:07:57] 二选一就好
[01:07:59] 因为还是我们要
[01:08:00] 聚焦在你的服务上
[01:08:01] 但是他
[01:08:02] 稍微
[01:08:03] 10%
[01:08:04] 20%稍微
[01:08:04] 让人家有点
[01:08:06] 就是立体感
[01:08:07] 这样子
[01:08:07] 对好
[01:08:08] 那我们
[01:08:09] 我觉得往下滑
[01:08:10] 他这篇我觉得写很好
[01:08:12] 因为我那时候
[01:08:13] 我看东东的帐号的时候
[01:08:14] 就印象很深刻
[01:08:15] 我就想说
[01:08:16] 哇靠
[01:08:17] 这个人在萃写什么
[01:08:19] gcp的架构
[01:08:20] 什么伺服器
[01:08:21] 然后还有
[01:08:22] 还有人在看呢
[01:08:23] 我想说这个太硬了吧
[01:08:25] 这高这个
[01:08:26] 这个是怎么回事
[01:08:28] 对但是就
[01:08:29] 很很猛
[01:08:29] 但是好我们
[01:08:30] 反正下面我们就不看了
[01:08:32] 因为真的蛮蛮
[01:08:33] 蛮quizy的
[01:08:34] 就在写些什么
[01:08:35] 技术的
[01:08:36] 完全就看不懂
[01:08:37] 技术名词
[01:08:38] 但是我们看
[01:08:38] 等一下看看他自顶文
[01:08:39] 谢谢
[01:08:41] 就我觉得他自顶文就写很好
[01:08:43] 因为你就会看说
[01:08:44] 哎
[01:08:44] 其实不管他是什么领域的话
[01:08:46] 他其实他是在写自己的故事
[01:08:49] 然后他用一个别人
[01:08:50] 比较好理解的格式
[01:08:51] 其实
[01:08:52] 你看他的
[01:08:53] 这篇的浏览率也非常的高
[01:08:56] 而且我
[01:08:57] 我相信这篇文
[01:08:57] 其实也很多人跟你互动
[01:09:00] 甚至是可能去
[01:09:01] 跟你请教一些问题
[01:09:03] 他就在很
[01:09:04] 他就很真实的去写
[01:09:06] 他的故事
[01:09:07] 然后下面就很多人在
[01:09:08] 在分享
[01:09:10] 对
[01:09:10] 所以我觉得
[01:09:10] 这个是一个蛮好的例子
[01:09:12] 我也蛮推荐你可以
[01:09:14] 呃
[01:09:14] 可能不用多
[01:09:15] 但是你就是有定时
[01:09:17] 去写一些这种故事
[01:09:18] 我觉得会让
[01:09:19] 大家会有这个共感
[01:09:21] 对
[01:09:22] 所以我觉得东东是一个
[01:09:23] 很好例子
[01:09:24] 因为他
[01:09:24] 他写的东西非常有声音
[01:09:26] 他也可以去
[01:09:26] 就是这样子的
[01:09:27] 他这样子经营的他的
[01:09:29] 呃
[01:09:30] 品牌
[01:09:30] 还是可以去写他自己的故事
[01:09:32] 然后是可以去
[01:09:33] 让人家引起别人的共鸣的
[01:09:35] 对
[01:09:35] 非常的棒
[01:09:36] 好
[01:09:37] 下一个
[01:09:38] 那你的变
[01:09:39] 你变现目前有
[01:09:40] 有人去询问
[01:09:41] 或是
[01:09:42] 就是去咨询吗
[01:09:45] 透过税还没有
[01:09:47] 那其他管道是有一些
[01:09:50] 对不对
[01:09:51] 只是还没有达到
[01:09:52] 我的经营上的目标
[01:09:55] 所以我希望说
[01:09:56] 可不可以靠税
[01:09:57] 然后再做得更好
[01:09:59] 这样
[01:09:59] 那你有考虑要经营自己的
[01:10:02] 可能
[01:10:03] 思域吗
[01:10:04] 呃
[01:10:05] 有
[01:10:06] 其实我
[01:10:07] 我有做一个部落格
[01:10:09] 然后部落格会请大家
[01:10:11] 就是下载电子出
[01:10:13] 然后就可以收集意内
[01:10:15] 那你的赦意上面
[01:10:16] 其实也可以做这件事情
[01:10:18] 就在赦意上面就把它
[01:10:19] 收集那个名单
[01:10:21] 对
[01:10:22] 然后在名单上面的去
[01:10:23] 慢慢去沟通
[01:10:24] 嗯
[01:10:25] 对
[01:10:26] 好
[01:10:26] 但是好就这样
[01:10:28] 然后在名单上面
[01:10:29] 你要去
[01:10:30] 写一些比较
[01:10:31] 软性的话题
[01:10:32] 就是email上
[01:10:33] 写一些比较软性的话题
[01:10:35] 因为
[01:10:35] 就是大家不会喜欢
[01:10:36] 每次收到电子包
[01:10:37] 就是在讲什么
[01:10:38] suffer的架构
[01:10:39] 它是必要的元素
[01:10:41] 但是你必须要让它
[01:10:42] 这是
[01:10:43] 这件事情本身是有趣的
[01:10:45] 这件事情是他觉得
[01:10:45] 你是他朋友
[01:10:46] 对
[01:10:47] 然后这样子
[01:10:47] 我觉得才会建立
[01:10:48] 性认感
[01:10:49] 才要办法去成交
[01:10:50] 嗯
[01:10:51] 好
[01:10:51] 下一个
[01:10:53] 然后一九一九也是
[01:10:56] 蛮优秀的
[01:10:56] 因为他很常在群组里面跟大家
[01:10:58] 互动跟讨论
[01:10:59] 他最终是好像原本
[01:11:01] 我记得只有七
[01:11:02] 好像八
[01:11:04] 八九百八
[01:11:05] 他也是
[01:11:06] 好像八百多吧
[01:11:07] 成长蛮多的
[01:11:09] 对
[01:11:10] 那
[01:11:11] 他的
[01:11:12] 这篇
[01:11:12] 我觉得这篇文章是他后来把字顶
[01:11:14] 这边就是很多
[01:11:15] 可以点一下
[01:11:18] 像他这篇的浏览率
[01:11:19] 可以看得到吗
[01:11:22] 哦
[01:11:22] 没关系吧
[01:11:23] 他这篇好像十几万吧
[01:11:25] 然后这篇文就是一个
[01:11:26] 我觉得
[01:11:27] 我觉得也是一个
[01:11:29] 蛮实用的文章
[01:11:30] 就是他在写说什么画画的五个
[01:11:32] 五个方法
[01:11:33] 最上面
[01:11:34] 往上
[01:11:35] 所以其实你在任何领域里
[01:11:36] 你可以去写
[01:11:37] 你就写说这个
[01:11:38] 呃
[01:11:39] 这个
[01:11:40] 受伸的五个方法
[01:11:41] 或养成受伸习惯
[01:11:42] 体质的五个方法
[01:11:43] 或是养成
[01:11:45] 这个正向思考的五个习惯
[01:11:47] 或养成这个
[01:11:48] 自动画工
[01:11:49] 工具的五个习惯
[01:11:51] 所以我觉得这篇是一个
[01:11:52] 很好去参考的文章
[01:11:54] 那
[01:11:55] 就是他也没有
[01:11:56] 需要非常高深的知识
[01:11:58] 然后他前面其实也他有去写
[01:12:00] 他的这个
[01:12:01] 生命的故事
[01:12:02] 他讲说他的画灵很短
[01:12:04] 但是他
[01:12:05] 为什么
[01:12:05] 很喜欢做这件事情
[01:12:06] 然后后面就分享一些使用知识
[01:12:09] 好
[01:12:09] 那这个依据就这样
[01:12:13] 对
[01:12:14] 这是DES的
[01:12:15] DES的话
[01:12:16] 可以看一下他的这个
[01:12:19] 脆
[01:12:21] 对 我觉得这个他字界
[01:12:22] 还是有点太长
[01:12:24] 我那他可能
[01:12:25] 还没有去看
[01:12:26] 我就字界有点太长
[01:12:27] 然后那也写的蛮
[01:12:28] 蛮聚焦的
[01:12:29] 往下看一下
[01:12:32] 哦
[01:12:32] 这边也很很多人在
[01:12:34] 看8月4号
[01:12:38] 好
[01:12:39] 对
[01:12:39] 我觉得他这个就是说
[01:12:42] 卤药是
[01:12:44] 看一下
[01:12:45] 思考一下
[01:12:47] 嗯
[01:12:50] 大家觉得他的文章看起来
[01:12:52] 感受怎么样
[01:12:55] 对
[01:12:55] 我是觉得好像是重点蛮多
[01:12:57] 但是好像就是
[01:12:59] 太聚焦了
[01:13:00] 我觉得会比较像是部落格
[01:13:02] 或是网站的文章的格式
[01:13:03] 故事性
[01:13:04] 故事性有点有点低
[01:13:06] 但是内容
[01:13:08] 含尽量是很好的
[01:13:09] 所以我觉得这个
[01:13:10] 文章可能是表情符号
[01:13:12] 稍微用少一点
[01:13:14] 然后让他故事加多一点
[01:13:16] 会让他的效果可以再更加分
[01:13:18] 那他现在其实这样也还不错
[01:13:20] 那我们下一个
[01:13:23] 对对对
[01:13:24] 所以就是后面呢
[01:13:26] 就是讲一些很有潜力的
[01:13:28] 对
[01:13:28] 然后但是可能
[01:13:30] 明确变现机制还不明确
[01:13:32] 或是有变现机制
[01:13:33] 但流程可以更好的给大家一些
[01:13:35] 参考的建议跟案例
[01:13:38] 那我们就下一个
[01:13:40] 这个是审到一哥
[01:13:43] 对
[01:13:43] 然后他
[01:13:44] 他最近的文章
[01:13:45] 我觉得都非常的好
[01:13:47] 所以
[01:13:48] 我们可以去看一下
[01:13:51] 对
[01:13:52] 那我们后面
[01:13:52] 后面的话就是
[01:13:53] 我们用调的
[01:13:54] 没关系
[01:13:55] 我们就会就是
[01:13:56] 他会等一下
[01:13:59] 好
[01:14:01] 因为他也是一个非常
[01:14:03] 我觉得非常擅长写
[01:14:04] 那种知识文的人
[01:14:06] 然后后来给他建议之后
[01:14:07] 他就开始去写一下他的
[01:14:09] 一些故事
[01:14:10] 然后就发现他的流量
[01:14:11] 开始非常很多
[01:14:13] 他就讲说他之前
[01:14:13] 负债百万
[01:14:15] 是怎么样去重新去
[01:14:17] 梳理自己人生的
[01:14:18] 像这篇就哇
[01:14:19] 2163个战
[01:14:21] 好多
[01:14:22] 所以我是觉得每个人的生命
[01:14:24] 都是可以去
[01:14:25] 你去分享一些真正的故事
[01:14:27] 不管他力不厉害
[01:14:28] 其实都是可以给别人一些
[01:14:30] 共鸣的
[01:14:32] 像然后我记得他有写一篇是什么
[01:14:36] 看一下
[01:14:40] 对
[01:14:41] 大部分的话
[01:14:44] 这篇也不错
[01:14:45] 就是他其实
[01:14:46] 像你这种写故事
[01:14:48] 你看说什么
[01:14:49] 想象一下你的亲朋好
[01:14:50] 在葬礼上会怎么追思你的
[01:14:52] 他写这种文章
[01:14:54] 我就觉得这个是一个蛮好题材
[01:14:56] 然后下面的那个
[01:14:57] 互动率也都很好
[01:14:59] 那我觉得其实也不是要
[01:15:00] 去追求那个流量
[01:15:01] 而是这个文章
[01:15:02] 他本身是不是可以带给别人
[01:15:04] 一些力量跟鼓舞的
[01:15:06] 我觉得这才是最重要的事情
[01:15:08] 好
[01:15:08] 那你就换下一个
[01:15:12] 下一个是
[01:15:13] 凯特林去走走
[01:15:15] 可以看一下他的
[01:15:16] 现场看一下他的
[01:15:21] 下来看
[01:15:25] 下来看
[01:15:26] 带下一个
[01:15:27] 他写的我看一下他这边
[01:15:29] 互动率
[01:15:30] 有点太长了
[01:15:32] 太长的
[01:15:33] 有点太长了
[01:15:34] 我是觉得可以经
[01:15:35] 可以精减一点
[01:15:36] 但他也是
[01:15:38] 在写一些
[01:15:38] 我觉得这个题材
[01:15:40] 这个题材算蛮有趣的
[01:15:43] 我觉得就是说他
[01:15:44] 好像常识要去写
[01:15:46] 那个海军的
[01:15:47] 但是我觉得这个太长
[01:15:50] 就是有时候是
[01:15:52] 你这个文章本身要吸引人
[01:15:53] 然后你写场是ok
[01:15:54] 但是如果大部分情况下
[01:15:56] 我觉得文章其实是可以
[01:15:57] 不用那么长的
[01:15:58] 因为会让人家有点失去
[01:16:00] 耐心
[01:16:01] 所以然后再来是他变现机
[01:16:02] 只可能也没有很明确
[01:16:04] 所以我觉得这个是可以
[01:16:05] 可以去稍微优化的地方
[01:16:10] 这个
[01:16:12] 好看一下这个
[01:16:16] 这个
[01:16:17] 快速度
[01:16:18] 这个我觉得字界就是有点太太太
[01:16:21] 太generol
[01:16:22] 就是我只看得出来
[01:16:23] 他在做送播名下
[01:16:25] 然后其他就感觉好像看不出他跟其他的
[01:16:28] 差异
[01:16:29] 差异化最大的地方是什么
[01:16:31] 但是他你看他这个文章写得
[01:16:33] 其实也不错
[01:16:33] 就是像这个就是很单纯的提供
[01:16:36] 是那个韩金亮的文章
[01:16:37] 他在写每个麦伦对应的
[01:16:40] 议题跟解决的方式
[01:16:42] 对那这个其实也是要真的要有一定的
[01:16:45] 了解程度还写的写得出来
[01:16:48] 好这个就
[01:16:50] 下一个
[01:16:52] 我看他这个
[01:16:53] 看他上一个
[01:16:57] 对他其实应该是他用电子报的
[01:17:00] 所以他最终的产品我觉得
[01:17:03] 基本上如果是导到他的自己的
[01:17:05] 那个送播疗愈是蛮好的
[01:17:07] 但是我觉得他可能在
[01:17:08] 在文章在文章上面要去思考
[01:17:11] 怎么跟别人去
[01:17:12] 建立
[01:17:14] 这个信任感跟把自己的特色的人色
[01:17:16] 去做出来
[01:17:17] 这样子会比较好去
[01:17:19] 好去变现
[01:17:20] 对
[01:17:22] 对
[01:17:23] 明杰今天有来
[01:17:24] 好顺便帮你
[01:17:25] 就今天来帮你看一下
[01:17:35] 明杰我觉得就是说你的这个
[01:17:37] 你本身就是有一个什么罕见疾病
[01:17:40] 所以你的
[01:17:40] 你的差异化本身就是非常明显
[01:17:43] 而且别人也无法去
[01:17:45] 去去跟你复词
[01:17:47] 所以这是蛮蛮好的
[01:17:48] 所以字界我觉得都还蛮还蛮OK
[01:17:56] 往下往下
[01:17:58] 往下
[01:18:00] 字界感
[01:18:07] 我觉得说像你写的东西的话
[01:18:11] 好像还是有点
[01:18:12] 还是有点太太
[01:18:14] 就字数太多了
[01:18:16] 就是
[01:18:17] 就是可能
[01:18:19] 没有很习惯
[01:18:20] 就是你要
[01:18:21] 你要嘛是那个整理
[01:18:22] 列点文就是
[01:18:23] 很精建
[01:18:24] 因为那个可能都就是
[01:18:26] 比较没有你自己的个人风格
[01:18:27] 就是单纯是整理一些知识点
[01:18:29] 但是你当你在写文章的时候
[01:18:31] 你可能会
[01:18:32] 写太多字
[01:18:33] 所以我觉得是可以写
[01:18:35] 文字写精炼一点
[01:18:36] 不要写那么长
[01:18:37] 开始
[01:18:38] 因为像我有观察
[01:18:39] 像你们
[01:18:41] 那个受声的
[01:18:42] 这个主同学们
[01:18:44] 就是你们的伙伴们
[01:18:45] 其实大部分都好像很习惯把
[01:18:47] 文章写很长
[01:18:49] 然后可能重点都很慢会讲
[01:18:51] 才讲出来
[01:18:52] 可能前面会先讲很长的一串说什么
[01:18:54] 你觉得什么你遇到什么问题吗
[01:18:56] 你常经没有自信吗
[01:18:57] 你曾经失去
[01:18:59] 这个吗
[01:18:59] 然后再加一个标题说来我给你一个
[01:19:02] 解决的方式然后之后才开始讲重点我就觉得这样其实有点太
[01:19:06] 太笼场了就是可以
[01:19:07] 更
[01:19:08] 开门见山就是可以
[01:19:11] 尽可能这种
[01:19:12] 修饰词就可以
[01:19:15] 可以一句解决就不要
[01:19:16] 不要拖到那么长的篇幅
[01:19:18] 因为大家可能
[01:19:19] 在上面第一个是
[01:19:20] 耐心也比较短
[01:19:21] 第二个是说其实现在比较主流的方式就是开门见山
[01:19:25] 第一句就是要嘛是
[01:19:27] 可能像刚刚那个台湾的
[01:19:29] 他就是问他老婆问他一个问题
[01:19:31] 然后他就马上大家联想到那个情境他下一句话就直接进到重点
[01:19:35] 他不会在前面在列很多很长的篇幅去列去
[01:19:39] 去吸引人这样子
[01:19:41] 对这是我感觉到一个东西然后再就是
[01:19:44] 就是你的变现的话
[01:19:47] 感觉上是可以
[01:19:48] 现在是怎么现在是先
[01:19:50] 倒入到电子报吗还是怎么样
[01:19:53] 哦
[01:19:54] 哦
[01:19:55] 哦
[01:19:55] 哦
[01:19:56] 哦
[01:19:57] 哦
[01:19:57] 哦
[01:19:58] 哦
[01:19:58] 哦
[01:19:59] 哦
[01:20:01] 賴官方也不错但是我觉得也可以考虑就是
[01:20:04] 用电子报的方式因为大家对于
[01:20:07] 我觉得对賴官方本身还是
[01:20:10] 他算是主力比较大
[01:20:12] 对然后倒入到賴官方以后你要去
[01:20:14] 发信给他其实你也没办法去发法因为那个就是出呗如果你今天量很多的话你就是会要
[01:20:20] 就是
[01:20:21] 费用很贵
[01:20:22] 对
[01:20:23] 所以
[01:20:24] 如果你数量很少的话倒是还好可是如果你数量一升起来以后你要去发
[01:20:29] 你要去发讯息给他们的话可能就会
[01:20:31] 就是费用比较高一点所以可以考虑看看用电子报然后
[01:20:35] 前面的时候就是
[01:20:37] 就像你现在做的那个免贝产品很好但是我有推荐说你可以
[01:20:41] 取一个名字是比较不会那么
[01:20:43] 压力那么大的
[01:20:44] 因为现在好像是叫什么高价值瘦身
[01:20:47] 什么
[01:20:48] 高价值什么
[01:20:51] 哦对高价值新生新的你瘦身课程
[01:20:54] 就是好像
[01:20:56] 看一下反正就是可以取一个平仪技能的因为大家现在
[01:20:58] 就是网络上资讯很多然后很怕被诈骗
[01:21:01] 所以你就取一个最实物的就最好像那时候今天
[01:21:05] 可以取一个就是什么
[01:21:06] 什么身心领结和
[01:21:08] 正确瘦身的五个
[01:21:10] 呃瘦最实用方法懒人包
[01:21:12] 这种就很明确他知道我看这个会看到什么然后又是
[01:21:15] 免贝的他可能就动机就会比较高一点
[01:21:18] 好下一个
[01:21:20] 然后这个是
[01:21:23] 这个同学写的很好给大家参考一下
[01:21:26] 因为他他那时候跟我讲啊他说他现在不知道变现什么产品
[01:21:31] 他好像就是说他对这个休息很有兴趣
[01:21:34] 然后
[01:21:35] 又
[01:21:36] 很会说话
[01:21:37] 然后又是做
[01:21:38] 沟通采购的然后我就跟他说那你就
[01:21:41] 你就先你就先开始
