[00:00] 我就是一個不愛開暖氣的人
[56:37] 就是跟你要的
[56:39] 就是我會把那個層次區分很清楚
[56:42] 等一下會跟你們說清楚齁
[56:44] 然後你就會知道說
[56:46] 嗯你你如果公開這樣寫
[56:48] 不是說不行
[56:50] 但是那跟你的粉絲量
[56:52] 大到什麼程度有關
[56:54] 然後真正現在如果你與時俱進
[56:57] 你會發現
[56:58] 呃真正厲害的高手
[57:00] 他不會在
[57:01] 他不會立刻的
[57:03] 呃把超過萬元的
[57:06] 費用方案超過萬元
[57:08] 就萬元而已
[57:09] 我所有是升星零圈
[57:10] 喔升星零圈
[57:11] 喔
[57:12] 如果是其他圈
[57:13] 喔舉例
[57:14] 如果是呃
[57:15] 比如說
[57:16] 如果你是投資
[57:17] 好比如說同資房地產
[57:19] 你都已經知道他是高價了
[57:21] 所以你不會
[57:22] 你如果投資
[57:23] 而且這個投資讓你賺錢的
[57:25] 那這個時候你要公開講
[57:27] 沒有問題啊沒毛病
[57:29] 好
[57:30] 那但是如果那個就就五六萬七八萬
[57:33] 都可以喔
[57:34] 都可以
[57:35] 但是我我問你喔
[57:36] 如果你是一個比如說交英文的
[57:38] 那你寫個我我交英文的要五六萬
[57:40] 你就會覺得啊這個我不會去
[57:42] 對不對
[57:43] 為什麼
[57:43] 因為你會覺得怎麼那麼貴
[57:45] 那因為他沒有沒有告訴你清楚
[57:48] 沒有價值
[57:48] 跌加好他的一個概念
[57:51] 好那這個
[57:52] 在更多的後面有機會來跟你們說
[57:55] 那我們該怎麼做呢
[57:57] 如果你要暖身
[57:58] 如果你要引流
[58:00] 我會建議的在
[58:02] 自媒體暖身引流的正確打開方式
[58:05] 是什麼呢
[58:06] 來我們來看一下
[58:08] 好這裡呢我貼了幾個案例
[58:10] 齁
[58:11] 然後
[58:12] 呃
[58:14] 好
[58:15] 喔一二三四五六七
[58:16] 我們來看一下
[58:17] 這應該是我的一
[58:18] 好來
[58:19] 我給大家看一下
[58:20] 我先給大家看
[58:21] 你看喔
[58:22] 這邊從11月到12月
[58:24] 我只是給幾個重點
[58:26] 反正因為不然太多了
[58:27] 好這是在我在我的臉書裡面
[58:30] 然後我在11月8號
[58:32] 然後我用我的機器人
[58:33] 我我訓練好的機器人寫的東西
[58:36] 然後我開始先做什麼暖身嘛
[58:38] 對不對
[58:39] 所以我跟大家我跟我在臉書就開始
[58:41] 說當你活出你所交的
[58:43] 宇宙會開始認出你
[58:44] 然後如果你沒有影子
[58:45] 代表你並未站在光裡
[58:47] 這是Lady Gaga說的
[58:49] 然後他說這句話
[58:50] 剛經歷什麼身心疾病跟焦慮
[58:53] 然後很多人以為
[58:55] 他是極致自信的象徵
[58:56] 但他常常崩潰
[58:58] 然後但他沒有選擇
[58:59] 那個把脆弱隱藏喔
[59:01] 反而把他帶進藝術了
[59:03] 好我就開始寫說
[59:04] 那這個跟我想要講的議題
[59:06] 有什麼關係啊
[59:07] 我就說
[59:08] 因為身心工作者的課題
[59:09] 也就像我們交愛自己成福顯化
[59:12] 但如果自己也不敢面對恐懼
[59:14] 還有行動卡點
[59:15] 再說跟做之間的
[59:17] 你會有個裂縫
[59:18] 對不對
[59:19] 有個斷層
[59:21] 然後宇宙就聽不懂
[59:22] 然後心裡有學教什麼什麼什麼
[59:25] 來這就是我的
[59:26] 我用我的ai機器人所
[59:28] 設計出來
[59:29] 他是有個結構的
[59:31] 好然後我就寫完這一篇貼文
[59:33] 然後寫完這一
[59:35] 然後我看到很多靈性老師
[59:36] 也陷入這樣的迴圈
[59:38] 交財富客自己卻負債累累
[59:40] 交愛自己卻每天卻常常崩潰
[59:43] 這不是錯
[59:44] 是宇宙在提醒真正的老師
[59:45] 不是完美的那個
[59:47] 而是層實面對自己仍然在路上的人
[59:50] 好
[59:51] 然後我自己也常想
[59:52] 對啊
[59:52] 靈修如果不能落地
[59:53] 他就是一個漂亮的理論
[59:56] 等等等等等
[59:57] 然後你要怎麼檢視
[59:58] 靈性落地呢
[59:59] 不難一二三四幾個動作
[01:00:02] 最後還是在說
[01:00:04] Lady kaka說什麼什麼好
[01:00:06] 然後我就是Lady kaka的照片
[01:00:08] 然後這是
[01:00:09] 那時候也沒有很多人看
[01:00:11] 大概是50幾個人而已
[01:00:12] 然後有一些人分享出去
[01:00:14] 好
[01:00:15] 那請問
[01:00:16] 如果像這樣的一篇貼文
[01:00:19] 如果在
[01:00:20] 三到五分鐘內生成
[01:00:22] 就是
[01:00:23] 呃有你的語氣
[01:00:24] 有你的觀點
[01:00:25] 有你的靈魂
[01:00:26] 但是在
[01:00:27] 大概五分鐘左右的時間就做好
[01:00:30] 你會覺得他
[01:00:32] 就是你
[01:00:32] 你覺得你的滿意度有多
[01:00:34] 你覺得你能夠給他的滿意度
[01:00:36] 會有幾分呢
[01:00:37] 就是一到十分一是最低
[01:00:40] 時勢最高
[01:00:41] 像這樣的一篇文章
[01:00:44] 你誠實說哦
[01:00:45] 沒關係哦
[01:00:45] 這是我們的第一篇文
[01:00:47] 我給我問
[01:00:48] 我看一下大家的感受
[01:00:50] 我剛剛是簡單的先帶著大家講一下
[01:00:53] 好
[01:00:53] Michel說六分
[01:00:56] 誠實說就好了哦
[01:00:58] 好
[01:01:00] 還有嗎
[01:01:02] 哦
[01:01:02] 新語說六分
[01:01:03] A比說八分
[01:01:10] 大家還在想
[01:01:11] 還在想
[01:01:15] 七分
[01:01:17] 好
[01:01:18] 然後我們再來看哦
[01:01:19] 這是第一
[01:01:19] 暖身
[01:01:20] 我們的暖身文
[01:01:21] 好
[01:01:21] 我們繼續看哦
[01:01:23] 如果你想要讓別人快樂練習慈悲
[01:01:26] 如果你想要自己快樂
[01:01:28] 你也練習慈悲
[01:01:29] 這是答案的阿媽說的
[01:01:31] 然後我那時候就寫說
[01:01:32] 去年我開始接觸預見課程了
[01:01:34] 我一次有一次的附訊
[01:01:36] 可不可以把那個明白科進股水
[01:01:38] 今年三月呢
[01:01:39] 我也參加了一個九十天的
[01:01:40] 陪泡哇講實訊
[01:01:42] 到現在每兩三個月都有一個預見的
[01:01:45] 聚會
[01:01:45] 就在過程不斷經驗中
[01:01:47] 我就慢慢懂了就是
[01:01:49] 當我們願意把愛流出去
[01:01:51] 幸福感就會自然回流
[01:01:52] 而這就是答賴兩把說的慈悲的力量
[01:01:55] 好
[01:01:56] 然後我曾經以為把自己照顧好就了不起
[01:01:58] 以前我講愛自己是如何如何如何
[01:02:01] 然後呢
[01:02:02] 直到有一個聚會
[01:02:04] 長姐學長說
[01:02:05] 若現場每一個人都是你的祖先
[01:02:07] 那我們要更好好的支持他們
[01:02:10] 所以我就覺得這句話敲醒了我
[01:02:12] 所以從那天起我變了
[01:02:14] 我開始為我的祖先們做事情
[01:02:16] 用我手上的工具方法去清理療癒期願
[01:02:20] 當我在燒做作文紙
[01:02:21] 當我清新聽
[01:02:22] 聽朋友的故事
[01:02:24] 我都在提醒自己保持頻率400以上
[01:02:26] 讓自己成為一個穩定光點
[01:02:29] 有時候光是靜靜的陪伴
[01:02:30] 就足以安撫一顆混亂的心
[01:02:33] 然後蔡老師的簡報開頭有說
[01:02:35] 如果能在一起
[01:02:36] 超過一小時過去500是我們
[01:02:38] 就是家人了
[01:02:39] 所以同學們老師們家人們好
[01:02:43] 我們都是一家人好嗎
[01:02:46] 所以呢我此生遇到的每個人
[01:02:48] 可能你們
[01:02:48] 你們都是我某一世的家人跟祖先哦
[01:02:51] 都是靈魂約定好要提醒彼此的
[01:02:54] 好我在11月11號寫了這個東西
[01:02:56] 然後呢
[01:02:57] 這邊我也提到
[01:02:58] 熔哥說過
[01:03:00] 個體的治癒就是集體無意識的治癒
[01:03:04] 如果願意多愛點別人
[01:03:05] 也是在療癒自己的靈魂
[01:03:07] 當我願意走出去分享傳遞支持他人
[01:03:10] 我看見的不只是他們改變
[01:03:11] 而是整個世界都在發亮
[01:03:13] 以下有三個行動發亮送給
[01:03:16] 行動方案送給此刻也想
[01:03:18] 也想願意流動等你好
[01:03:20] 這只是我當時寫的一個文章
[01:03:23] 好我願意成然後加上這一篇圖
[01:03:25] 好然後當時呢
[01:03:27] 呃也是就是比較
[01:03:29] 呃因為那時候我有請大家在留言區
[01:03:32] 跟我說你的1111願望是什麼
[01:03:34] 然後有十幾個人跟我分享他們的願望
[01:03:37] 是什麼好這個是
[01:03:38] 然後我要說的是在剛剛那一篇貼文呢
[01:03:41] 是五十幾個人留言
[01:03:43] 然後開始多做這個
[01:03:45] 塗加文我只是多做塗加文
[01:03:48] 然後用我們的機器人
[01:03:50] 那有越來越多人好接下來
[01:03:52] 然後這是
[01:03:53] 接著下一篇就是我害怕別人把我看的
[01:03:56] 太完美這是哈利波特女主角說的
[01:03:59] 好我們就不看重不看內容了
[01:04:02] 重點呢是呃我們一次接著一次
[01:04:05] 這個貼文的流量不多很少
[01:04:08] 但是哦有開始有留言
[01:04:10] 那我們這都在暖身暖身的時候
[01:04:12] 我開始在做是什麼
[01:04:14] 後面我們暖身到一個程度之後
[01:04:17] 我不會天天都在講
[01:04:18] 我是我在幹嘛幹嘛嘛對不對
[01:04:20] 但是有一些暖身文
[01:04:22] 然後呃然後呢
[01:04:24] 接著這個時候呢
[01:04:25] 我在講這個時代會推銷的人
[01:04:27] 不一定會贏
[01:04:28] 但會吸引的人一定贏
[01:04:30] 然後前一陣子我去深圳認識誰誰誰
[01:04:32] 哦做做什麼什麼什麼哦
[01:04:35] 然後就是這個人就是找到機會
[01:04:37] 就推銷暗示我如果錯過之後
[01:04:40] 我健康是無價等等
[01:04:41] 然後讓大部分的人發言感
[01:04:43] 然後我心裡想著哎呀
[01:04:45] 我再做了十分鐘就走了
[01:04:46] 等一下還是a a 字就走了吧
[01:04:48] 就是讓他請吃東西讓我很難受
[01:04:51] 因為他在跟我講
[01:04:52] 他們家的保健品很好嘛送什麼的
[01:04:55] 然後呃劉德華也說他不擅長推銷
[01:04:59] 哦但是劉德華說真正要長久
[01:05:01] 不是努力推銷自己
[01:05:03] 是讓別人自然喜歡你
[01:05:05] 所以呢
[01:05:06] 呃我們是不是說了
[01:05:07] 我們現在要用
[01:05:09] 吸引取代推銷
[01:05:11] 所以我們真正厲害的是要被
[01:05:13] 一個人是被吸引來的時候是感受不同的
[01:05:16] 他會自己主動哦
[01:05:18] 來跟你說什麼什麼
[01:05:19] 所以心理學家也告訴我們如何如何
[01:05:22] 反正這就是一個模式
[01:05:23] 好然後這一篇文哦
[01:05:25] 這個字我我轉
[01:05:26] 轉貼我自己的一篇文
[01:05:28] 然後到現在我我前一段時間
[01:05:30] 大概這個大概是半個多月前
[01:05:32] 寫的一個東西
[01:05:33] 哦如果停留在會療癒會教學
[01:05:35] 卻不懂得讓世界看到你的話
[01:05:38] 那麼你就會容易被實在淹沒
[01:05:40] 這是另外一篇文
[01:05:42] 好所以
[01:05:43] 呃這在這篇文我講到了
[01:05:44] 我打造了七個 aig 棄人
[01:05:46] 哦然後這七個是幹嘛的
[01:05:48] 然後
[01:05:49] 為打造他們雖然不容易
[01:05:51] 然後但是就是我沒有退等等等
[01:05:54] 我我開始學著怎麼去跟 ai 溝通
[01:05:56] 下指令寫prong
[01:05:58] 然後我一個一個去調整
[01:06:00] 然後所以我現在可以
[01:06:02] 呃我就把這整個內容寫得很清楚
[01:06:04] 哎七月去年哦
[01:06:05] 去年七月到現在
[01:06:07] 整整半年經歷的五次內容升級優化
[01:06:10] 我是做了什麼事情
[01:06:11] 好然後我把這些做了之後
[01:06:14] 然後我順便預告我在那
[01:06:16] 那個時候有一堂怎麼自媒體的 ai 成交之旅
[01:06:19] 有興趣的人就點報名
[01:06:21] 好然後我就選了這個
[01:06:22] 然後這這時候你看我大家看一下
[01:06:25] 我是不是之前前幾篇文都暖身了
[01:06:28] 這時候我告訴大家我在做什麼
[01:06:30] 對不對
[01:06:31] 然後這篇文反而就比較多人留言
[01:06:34] 加那個點在
[01:06:36] 對不對
[01:06:37] 但是這篇我是這篇我就很真誠的
[01:06:39] 把我的狀況寫出來了
[01:06:41] 好好那這篇文寫完之後呢
[01:06:44] 我給大家看一下成效好不好
[01:06:46] 就是我我這些範例的原因
[01:06:49] 就是為了給你們看
[01:06:50] 如果我只做塗加文的話
[01:06:53] 那他的成效是什麼
[01:06:55] 我們到下一頁來看
[01:06:57] 大家看一下就是
[01:06:58] 我在10月29號
[01:07:02] 10月29號那時候是
[01:07:04] 八十六個人報名我們的直播
[01:07:07] 到11月13號是89個人
[01:07:10] 12月16是72個人
[01:07:12] 然後到今年1月6號是183個人
[01:07:15] 我告訴你們變化在哪裡
[01:07:17] 你覺得就是
[01:07:18] 這個是真實
[01:07:20] 就是這個是跟著我們的那個自動化
[01:07:23] 比如說他報名我們的這個免費國動
[01:07:25] 就像今天講的活動
[01:07:27] 那他報名這樣的活動的人數
[01:07:29] 那大家我問一下大家
[01:07:31] 你覺得啊就是
[01:07:34] 這個人數大家有沒有覺得
[01:07:35] 有某種程度的穩定
[01:07:38] 就是到12月為止
[01:07:41] 好那但是到1月6號
[01:07:42] 為什麼人數變多了呢
[01:07:44] 因為我們做了一些調整
[01:07:46] 我們做了一些
[01:07:47] 有趣的調整
[01:07:48] 那那當我們去寫這些文
[01:07:51] 而且你可你可以知道
[01:07:54] 有多少人報名
[01:07:55] 那你是不是就可以換算什麼
[01:07:58] 你可以換算等於是好
[01:08:00] 比如我舉例說明
[01:08:02] 比如說有50個人報名你的
[01:08:05] 呃你現在在講了一個
[01:08:07] 我隨便講喔
[01:08:08] 比如說你的靈氣體驗課
[01:08:09] 好了你的靈氣體驗課
[01:08:11] 然後這50個人報名
[01:08:13] 你的靈氣體驗課呢
[01:08:15] 結果呢這50個人裡面
[01:08:16] 因為體被體驗到了
[01:08:18] 他們就哇你講了靈氣
[01:08:20] 什麼叫做靈氣
[01:08:21] 然後為什麼靈氣有用
[01:08:23] 對人們的幫助是什麼
[01:08:25] 覺得靈氣可以怎麼樣
[01:08:27] 支持到自己或支持到身邊的人
[01:08:30] 然後接著你現場還給他體驗靈氣
[01:08:32] 我都舉例說明而已
[01:08:34] 然後講完舉例完之後接著你說
[01:08:36] 哎那大家就是
[01:08:37] 你都了解靈氣了之後
[01:08:39] 而且他也聽到你說話的語氣態度
[01:08:42] 他也覺得你這個人
[01:08:43] 跟他是對評的
[01:08:46] 哦然後結果呢
[01:08:47] 他有可能因此就報名你的課吧
[01:08:49] 對不對這時候如果你在介紹你的方案
[01:08:52] 是不是嗯
[01:08:53] 你在每一次假設你都有50根50根50個人
[01:08:57] 因為了解你
[01:08:58] 然後他就報名你的課
[01:09:01] 你有沒有覺得
[01:09:02] 假設你的這個我隨便講
[01:09:04] 假設你的靈氣課是一萬五好了
[01:09:07] 我也不知道靈氣課多少錢
[01:09:08] 假設兩天一萬五
[01:09:10] 然後如果這一萬五
[01:09:12] 這50個人裡面
[01:09:13] 然後有嗯
[01:09:15] 比如說有10個人報名
[01:09:17] 好那
[01:09:18] 一萬五
[01:09:19] 成10個
[01:09:20] 就是
[01:09:22] 15萬嘛對不對
[01:09:23] 好那我們說的是課程哦
[01:09:25] 還沒有說是
[01:09:26] 別的
[01:09:27] 那請問你覺得這樣ok嗎
[01:09:29] 你有沒有覺得收入比較穩定
[01:09:31] 好那我們再講差一點好了
[01:09:33] 就五個人報名好了
[01:09:35] 奏檢一半
[01:09:36] 那你是不是有七萬五的收入
[01:09:38] 那請問我們就
[01:09:40] 就只有做塗加紋塗加紋塗加紋的這個動作
[01:09:44] 如果就可以為你帶來這樣子的
[01:09:47] 收入水平你覺得還可以嗎
[01:09:51] 你覺得可以的幫我打個可以
[01:09:56] 假設我們只做
[01:09:57] 而且我要告訴你哦
[01:09:58] 為什麼我們之前
[01:10:00] 你看之前為什麼人數比較少
[01:10:02] 我跟你們講真實原因好不好
[01:10:04] 你們要不要知道真實原因
[01:10:06] 哈哈
[01:10:08] 我告訴你真實原因
[01:10:11] 你我真的那個
[01:10:13] 那個我要看人多不多我才講
[01:10:17] 打的人不多我就不說
[01:10:21] 我可是把機密要告訴你們
[01:10:23] 如果回應不多我就不打
[01:10:25] 不吵
[01:10:26] 哈哈
[01:10:28] 好要好
[01:10:29] 好啦
[01:10:30] 那個謝謝我感受到你們的誠意了
[01:10:33] 好吧
[01:10:34] 我告訴你為什麼人數突然多好不好
[01:10:36] 我跟你們說我就唯一作為一個不一樣的事情
[01:10:40] 是什麼呢
[01:10:41] 嗯之前我因為我大家有沒有看到我有其中一篇文章寫到
[01:10:46] 因為我那不斷的優化我的課程
[01:10:49] 所以老實說我真是真心老實說
[01:10:52] 我因為很想要優化我的課程
[01:10:54] 所以我沒有時間去
[01:10:56] 一直認真的去寫自媒體
[01:10:58] 我剛剛是不是說了
[01:10:59] 我就是一專研到一個地方
[01:11:01] 我就無止進專研進去
[01:11:04] 然後我就會忘記我要做自媒體
[01:11:08] 那我在那時候在專研最花我時間的是什麼
[01:11:12] 就是我一比如說我在優化我的官網
[01:11:15] 然後我在優化
[01:11:17] 我優化官網優化課程
[01:11:18] 還有我在設計七個七七人
[01:11:21] 你們同學們聽一下是七個不是一個
[01:11:25] 一個就要花時間了
[01:11:27] 然後我這個人呢
[01:11:28] 哪來的自信我要做七個你知道嗎
[01:11:32] 所以你知道那七個機器人
[01:11:34] 然後我日日夜夜日日夜夜
[01:11:37] 都在弄機器人的事情
[01:11:38] 日日夜夜我沒誇張我沒誇張
[01:11:42] 我日日夜夜日日夜都在那
[01:11:44] 所以前面為什麼人流不夠那麼好
[01:11:48] 是因為我一直在花時間做這些
[01:11:50] 好了那12月中以後
[01:11:54] 我的時間就大概12月下旬
[01:11:57] 我的時間整個大解放
[01:11:58] 因為我的機器人終於搞定了
[01:12:01] 大家聽著終於終於完成了
[01:12:03] 而且放在我的後台了
[01:12:05] 而且所有的測試什麼都ok
[01:12:07] 搞定沒問題了之後
[01:12:09] 那我是不是時間就解放了
[01:12:11] 好了很簡單
[01:12:12] 所以我終於可以做一件事情
[01:12:14] 每天10分鐘做圖文
[01:12:16] 每天10分鐘圖文
[01:12:18] 你看我之前連每天10分鐘都不弄
[01:12:20] 為什麼
[01:12:22] 因為我全心全意
[01:12:23] 每天一早醒來晚上睡前
[01:12:24] 全部都在想著機器人
[01:12:26] 1號2號3號怎麼回事
[01:12:27] 哪一號又怎麼了
[01:12:28] 怎麼還沒有搞定
[01:12:29] 那個我要跟工程師溝通
[01:12:31] 那個對我來說
[01:12:32] 完全是另外一個世界的事情
[01:12:35] 跟行
[01:12:36] 大家知道嗎
[01:12:37] 跟這個世界不同
[01:12:38] 所以然後我又太
[01:12:40] 太鑽進去了你知道嗎
[01:12:43] 這機器人就是我的那個
[01:12:45] 那個ai機器人我等一下會展示給你們看
[01:12:48] 所以我就太鑽進去
[01:12:49] 所以我現在那機器人都搞定了
[01:12:51] 我現在是不是有時間了
[01:12:53] 有時間了人就多了
[01:12:55] 就是這麼一回事
[01:12:56] 所以我告訴大家就是一件事情
[01:12:59] 做字媒體有沒有用
[01:13:01] 我就問你們
[01:13:02] 我多寫文章
[01:13:04] 多讓人家看到我
[01:13:06] 我一個月寫10篇
[01:13:08] 跟一個月寫30篇
[01:13:10] 請問你有沒有覺得不一樣
[01:13:12] 我這裡就告訴你不一樣了
[01:13:14] 有沒有
[01:13:15] 你們有沒有清清楚楚
[01:13:17] 看到數據就是長不一樣
[01:13:19] 我之前哦
[01:13:20] 我跟你們說實話
[01:13:21] 我之前偷懶哦
[01:13:23] 我一個月可能就寫了可能5到8篇
[01:13:26] 是不是超偷懶
[01:13:28] 是不是超級偷懶
[01:13:29] 那後面呢
[01:13:30] 我12月中以後
[01:13:31] 我大解放我的機器人搞定之後
[01:13:34] 我就感動的淚水流下來
[01:13:36] 而且我要測試我的機器人對吧
[01:13:39] 所以呢
[01:13:39] 我就那一段時間大量測
[01:13:41] 所以你們今天為什麼會來
[01:13:43] 都是因為你們
[01:13:44] 你們都是因為看到我的東西來的啊
[01:13:46] 但是大不大量的看到我
[01:13:48] 我的機器人訓練的內容
[01:13:50] 讓你們有感覺對不對
[01:13:52] 好那現在我要幹嘛呢
[01:13:54] 我要直接現場示範
[01:13:57] 五分鐘就我們來做圖文好不好
[01:14:00] 我直接現場示範給你們看哦
[01:14:02] 不囉嗦
[01:14:02] 來我直接來上
[01:14:04] 好然後這就是我的後台
[01:14:07] 我們的課程其中一個後台
[01:14:09] 那這個就是自媒體引流機器人後台
[01:14:13] 然後這個後台裡面有三個機器人
[01:14:15] 那我就
[01:14:17] 呃我看看我就直接用現在這個報款長貼文好了
[01:14:22] 然後大家有沒有什麼一個主題想聊啊
[01:14:26] 等一下我會給你們
[01:14:27] 等一下我們會抽你們來用好了
[01:14:29] 那我看一下哦
[01:14:30] 就是我那我來講一下
[01:14:33] 我我我看看我講什麼好主題是好了啦
[01:14:37] 我看看要講怎麼主題
[01:14:39] 我也不知道哎
[01:14:40] 我們來講一個賺錢哦哦好好賺錢
[01:14:44] 那就是那就是金錢與零信啊好不好
[01:14:47] 有人說賺錢要金錢與零信啊
[01:14:51] 好我們來看一下會講什麼
[01:14:59] 我們來看看
[01:15:00] 最近有沒有跟金錢還有零信
[01:15:01] 相關的故事或題物來同學們
[01:15:04] 我告訴你們我的
[01:15:05] 哎我先我們先計時好了
[01:15:07] 我等一下再來講講解
[01:15:09] 還是我先講解再來計時
[01:15:10] 我先講解一下
[01:15:12] 大家看一下哦
[01:15:13] 我的自媒體機器人我先告訴你們
[01:15:15] 我設計的我的機器人
[01:15:17] 可不是罐頭機器人
[01:15:19] 我對於罐頭機器人
[01:15:21] 沒有靈魂的機器人
[01:15:23] 我是不屑的
[01:15:24] 我跟你們一樣哦
[01:15:26] 為什麼因為因為最重要的是
[01:15:28] 做自媒體是這樣
[01:15:30] 他是要你的個人ip
[01:15:32] 也就是要有你的個人管理
[01:15:34] 要你的個人定位對吧
[01:15:36] 如果這個機器人寫出來的東西
[01:15:38] 沒有你的靈魂沒有你的觀念
[01:15:40] 沒有你的語言沒有你的語調
[01:15:43] 那請問這還是你的機器人嗎
[01:15:45] 這不就是一篇很平庸的文章嗎
[01:15:48] 這不就是罐頭文章嗎
[01:15:51] 認同嗎
[01:15:52] 如果你認同的幫我按個加一
[01:15:54] 讓我知道你認你也認同
[01:15:56] 我的這個概念
[01:15:57] 你也認同
[01:15:59] 所以這個如果你也認同
[01:16:01] 那我要告訴你
[01:16:02] 我設計的機器人就是這樣
[01:16:04] 我並不是設計
[01:16:05] 哦我寫個金錢靈
[01:16:06] 他就直接生成
[01:16:07] 或者是什麼都不問你
[01:16:09] 一直生一直生一直生
[01:16:10] 那種叫做沒有靈魂的機器人
[01:16:13] 那我可以告訴你
[01:16:14] 那可不可以用可以
[01:16:15] 他可以賣很便宜的幾百塊的東西
[01:16:19] 或許是可以的
[01:16:21] 但是你絕對賣不了你的這種
[01:16:23] 比較更靈性的東西
[01:16:25] 因為他罐頭了
[01:16:27] 那種太罐頭的
[01:16:28] 我做不到
[01:16:29] 我做不到
[01:16:30] 我要告訴大家
[01:16:32] 好那拉回來
[01:16:33] 我們現在來計時哦
[01:16:35] 現在是8點
[01:16:36] 哦現在8點48分
[01:16:37] 我們來看一下
[01:16:38] 生成一篇文章
[01:16:40] 再加上一個圖要多少時間哦
[01:16:42] 我最近有沒有金錢
[01:16:44] 跟靈器相關的故事
[01:16:46] 體悟可以是收費
[01:16:47] 或是看到其他治療師哦
[01:16:49] 我看一下嗯好
[01:16:51] 就是有時候啊
[01:16:53] 我會看到有一些
[01:16:54] 療癒師他們的狀況是什麼
[01:16:56] 就是
[01:16:57] 他們會想要收費
[01:16:59] 他們也會定價
[01:17:00] 但是他們收費經常要嘛
[01:17:02] 突然變得很高
[01:17:04] 要嘛就是很低
[01:17:05] 很高呢就是自我感覺超級良好
[01:17:08] 他覺得我就是值那個錢
[01:17:10] 然後很低的呢
[01:17:11] 就會覺得哎呀
[01:17:12] 我們做治療師的
[01:17:14] 應該要良心收費吧
[01:17:16] 應該要公益收費吧
[01:17:18] 那這就是我看到
[01:17:20] 就是身邊有一些人我的感悟
[01:17:23] 好我就假設就這樣就好了
[01:17:24] 然後發送出去
[01:17:27] 好我看看他會說什麼哦
[01:17:30] 好大家看一下我機器人回應了我哦
[01:17:33] 他在幫我寫長文之前
[01:17:35] 他說要多聽一點我的心聲
[01:17:37] 好如果用幾句話對你
[01:17:39] 最大的真實感受是比如說
[01:17:41] 高收費也可能收多
[01:17:43] 哦好我認為哦嗯
[01:17:46] 其實我認為啊
[01:17:47] 最大的原因是
[01:17:49] 不是收費高或收費低
[01:17:50] 而是我覺得這些人
[01:17:52] 根本都沒有去調查所謂的市場行情
[01:17:56] 他們對於市場不了解
[01:17:57] 他們是隨心所欲的定價
[01:18:00] 認為自己該在什麼價值
[01:18:03] 他就定在什麼價值
[01:18:04] 他沒有去了解市場
[01:18:06] 所以為什麼突然變得很高
[01:18:08] 自我感覺良好
[01:18:09] 可能一次個案一萬兩萬三萬五萬的也有
[01:18:13] 然後呃也有人一次個案
[01:18:15] 一百兩百三百的也有
[01:18:17] 為什麼呢
[01:18:18] 因為那個就是
[01:18:19] 他對自己的認知的感受
[01:18:22] 而不是瞭解市場
[01:18:24] 現在的行情狀況
[01:18:26] 這個是我覺得
[01:18:28] 就是他們的拉扯是在於他們不了解市場
[01:18:32] 然後不知道如何定價
[01:18:33] 也沒有去調查市場
[01:18:35] 沒有行銷觀念
[01:18:37] 好這是這是我的概念哦
[01:18:39] 好我我發
[01:18:40] 我發送出去哦
[01:18:44] 好我們來看看他會生成什麼
[01:18:47] 剛剛是48分嘛對不對
[01:18:50] 好那他就生成一篇文章出來了
[01:18:53] 哦對不起
[01:18:56] 我
[01:19:00] 我
[01:19:01] 我
[01:19:02] 我
[01:19:03] 我
[01:19:04] 我
[01:19:05] 我
[01:19:06] 我
[01:19:07] 我
[01:19:08] 我
[01:19:09] 我
[01:19:10] 我
[01:19:11] 我
[01:19:12] 我
[01:19:13] 我
[01:19:14] 我
[01:19:15] 我
[01:19:16] 我
[01:19:17] 我
[01:19:18] 我
[01:19:19] 我
[01:19:20] 我
[01:19:21] 我
[01:19:22] 我
[01:19:23] 我
[01:19:24] 我
[01:19:25] 我
[01:19:26] 我
[01:19:27] 我
[01:19:28] 我
[01:19:29] 我
[01:19:30] 我
[01:19:31] 我
[01:19:32] 我
[01:19:33] 我
[01:19:34] 我
[01:19:35] 我
[01:19:36] 我
[01:19:37] 我
[01:19:38] 我
[01:19:39] 我
[01:19:40] 我
[01:19:41] 我
[01:19:42] 我
[01:19:43] 我
[01:19:44] 我
[01:19:45] 我
[01:19:46] 我
[01:19:47] 我
[01:19:48] 我
[01:19:49] 我
[01:19:50] 我
[01:19:51] 我
[01:19:53] 我
[01:19:54] 我
[01:19:55] 我
[01:19:56] 我
[01:19:57] 我
[01:19:58] 我
[01:19:59] 我
[01:20:00] 我
[01:20:01] 我
[01:20:02] 我
[01:20:03] 我
[01:20:04] 我
[01:20:05] 我
[01:20:06] 我
[01:20:07] 我
[01:20:08] 我
[01:20:09] 我
[01:20:10] 我
[01:20:11] 我
[01:20:12] 我
[01:20:13] 我
[01:20:14] 我
[01:20:15] 我
[01:20:16] 我
[01:20:17] 我
[01:20:18] 我
[01:20:19] 我
[01:20:20] 我
[01:20:21] 我
[01:20:22] 我
[01:20:23] 我
[01:20:24] 我
[01:20:25] 我
[01:20:26] 我
[01:20:27] 我
[01:20:28] 我
[01:20:29] 我
[01:20:30] 我
[01:20:31] 我
[01:20:32] 我
[01:20:33] 我
[01:20:34] 我
[01:20:35] 我
[01:20:36] 我
[01:20:37] 我
[01:20:38] 我
[01:20:39] 我
[01:20:40] 我
[01:20:41] 我
[01:20:42] 我
[01:20:43] 我
[01:20:44] 我
[01:20:45] 我
