[00:00] 能量清理一有
[54:20] 那但是沒有用
[54:21] 那要怎麼成交呢
[54:23] 好下一件事就重點了
[54:25] 那我們就要建立系統
[54:28] 那什麼是系統啊
[54:29] 那個羅伯特清奇
[54:32] 他曾經說過
[54:34] 窮人是靠努力工作賺錢
[54:36] 富人呢就靠建立系統賺錢
[54:39] 說實話這本書幾乎很多人都
[54:43] 聽過對不對
[54:44] 就是絕大多數的人聽過
[54:47] 但是呢
[54:48] 卻很少人知道怎麼做
[54:51] 好那我要繼續講之前
[54:53] 我先回答一下那個就是
[54:55] vivi的回
[54:56] vivi的詢問呢vivi說
[54:59] 呃我是走教育的
[55:00] 所以史金寅身心靈的其他老師也適合加賴
[55:04] 但如果是
[55:05] 如果像是走療癒不是走教學路線的人
[55:08] 對於家同業身心靈老師的賴會有意義嗎
[55:12] 哦天啊親愛的我跟你說vivi有跟你說
[55:16] 你知道嗎我問你們哦
[55:18] 你們如果學了
[55:20] 塔羅
[55:21] 會不會有可能會不會有可能想學生命數字
[55:25] 我問你你會不會有可能
[55:27] 那你如果學的生命數字會不會有可能會想學靈氣
[55:31] 有沒有可能
[55:33] 你們覺得有沒有可能
[55:35] 打會過不會
[55:37] 或是打有或沒有好了
[55:39] 有沒有可能有嘛對不對
[55:41] 有可能哦
[55:43] 所以vivi有沒有回答你的問題
[55:45] 我剛剛剛剛最早的時候你看哦
[55:48] 像我跟你們講比如說
[55:49] 我可能學過什麼靈敗
[55:52] 然後我也學過靈氣
[55:53] 然後我也學過比方說很多人啊學的好多啊
[55:56] 對不對有可能學的比說冥想
[55:59] 那這些是不是你的你要也要說的話
[56:01] 這有沒有可能都是你的同業老師
[56:03] 同業身心靈老師有沒有
[56:05] 所以你們聚在一起的時候
[56:07] 那有的有可能有的可能學了什麼阿卡西紀錄
[56:11] 有的又學了希塔療癒有沒有有沒有
[56:15] 所以你們聚在一起這些人有可能就是你的經者客戶
[56:21] 那當然你如何把對方變成經者客戶
[56:24] 那當然就是你的本事了理解嗎
[56:26] vivi我回答到你的問題嗎有嗎
[56:31] 嗯
[56:32] 不同類型同類型也可以因為同類型
[56:35] 比如說他跟你一樣希塔療癒的同學
[56:39] 但是你還學過別的嘛
[56:41] 比如說你還學過生命數字
[56:43] 那他然後結果你幫你同學算生命數字
[56:46] 他覺得哇靠這個好好玩哦
[56:48] 有沒有可能就從你的同學變你的學生
[56:52] 有沒有可能有的哦
[56:54] 所以有沒有懂啦你們懂啦
[56:56] 或者來聽一下聽一下哦
[56:58] 剛剛我是不是說有一個叫
[57:01] 那個整合型的整合型的對象對不對
[57:05] 整合型的怎麼做呢
[57:07] 如果你是那種整合型的
[57:10] 那我會建議就是你是整合型定位
[57:13] 比如說你去參加的是那個希塔療癒
[57:17] 好然後呢結果呢
[57:18] 哎希塔療然後你是那個按摩師
[57:21] 你是波精老師有沒有
[57:23] 然後結果呢你然後結果你看
[57:26] 哎你的那個什麼波
[57:27] 你因為你做波精的
[57:29] 然後呢你去但是你要去希塔療癒裡面
[57:33] 然後呢希塔療癒裡面啊
[57:34] 然後呢接著你就可以把你的波精服務
[57:37] 跟他們說啊給他們一個什麼體驗我
[57:40] 我應該是第三天哎第二天啊
[57:42] 第三天的時候
[57:45] 今天會嗎
[57:46] 哦我好像今天就是我會有一天
[57:49] 我突然忘記了我會有一天
[57:51] 我會跟大家一個晚上會跟大家講
[57:53] 怎麼來做這件事情
[57:55] 哇靠這個很厲害應該是第三天
[57:58] 那個非常厲害哦
[58:00] 那但是現在已經先跟大家講一些
[58:01] 簡單的方法了ok好
[58:03] 然後呢好我們拉回來
[58:05] 就是所以呢如果你是波精老師
[58:07] 然後你去到了一個跟你一樣
[58:09] 大家有共同語言一起做希塔療癒
[58:13] 一起學習希塔療癒
[58:15] 但是你有另外一個一技之長
[58:18] 就是你是做波精的
[58:19] 你是做護理師的
[58:20] 你是做別的什麼東西的
[58:22] 你可以讓他們知道你在做的那個什麼
[58:25] 是不是他們對你的印象
[58:27] 這種就是對你的印象不一樣了
[58:30] 那對你的印象不一樣
[58:31] 你多了一個身份
[58:32] 我跟你講這個東西千真萬確很有用
[58:35] 我以前曾經就有一個朋友
[58:37] 他是做身體推拿
[58:38] 然後呢他就會去
[58:40] 讓他自己也喜歡身心靈
[58:42] 然後他就會帶著他
[58:43] 那個推身體的那個棒子
[58:45] 然後呢只要到他到任何場所
[58:47] 他看到誰身體不舒服
[58:49] 給他體驗三到五分鐘
[58:51] 我告訴你哦
[58:52] 不用全部的人都體驗哦
[58:54] 只要他看準哪一個人身體
[58:56] 特別僵硬緊繃
[58:58] 把那一個人抓起來
[58:59] 一兩個人就好了
[59:01] 我告訴你哦
[59:02] 現場二十個三十個同學
[59:04] 都紛紛的要求要加這個人的Live
[59:08] 然後呢這個人生意就忙到不行
[59:11] 你們理解我的意思嗎
[59:13] 也就是他可能用他本來的一記之場
[59:16] 吸收這些身心靈的朋友
[59:19] 也有可能是因為你本身身心靈的領域
[59:21] 有不跟這個不同不同的
[59:24] 然後吸收就不論如何
[59:26] 是不是要其實你知道嗎
[59:29] 大家一定要記住一句話
[59:32] 把他放到你的骨髓裡面
[59:34] 細胞裡面
[59:36] 就是賺錢跟呼吸一樣的簡單
[59:39] 好不好
[59:39] 放到你的骨髓裡寫下這句話
[59:42] 賺錢跟呼吸一樣簡單
[59:45] 那如果你了解這些訣竅
[59:48] 你會發現
[59:50] 哇靠賺錢真的跟呼吸一樣簡單
[59:53] 我今天才又收了一筆很多錢進來
[59:57] 然後我覺得真的是還蠻爽
[59:59] 跟我現在在講的身心都沒有關係
[01:00:01] 哦就是我在做的別的事情
[01:00:04] 好賺錢跟呼吸一樣簡單
[01:00:07] 真的沒有人寫下來
[01:00:08] 對
[01:00:09] 米修是第一個寫的
[01:00:10] 米修就是第一個賺錢跟呼吸一樣簡單的人
[01:00:13] 好嗎
[01:00:15] 就是如果這句話你還要複製才能貼上的話
[01:00:18] 那麼就代表你可能還沒那麼想賺錢哦
[01:00:21] 好嗎
[01:00:22] 就是有收入有賺錢是個
[01:00:24] 很令人開心的事情
[01:00:26] 令我很振奮的事情
[01:00:28] 因為我真的很愛錢
[01:00:30] 我真的很愛錢
[01:00:31] 以後跟大家講為什麼那麼愛錢
[01:00:33] 好我們繼續哦
[01:00:34] 那我們要繼續講那個系統
[01:00:37] 我們要
[01:00:38] 對米修跟我一樣愛錢很好
[01:00:41] 所以米修一定愛錢的人
[01:00:42] 一定是有錢人對吧
[01:00:45] 不愛錢就是無錢人對吧
[01:00:48] 懂嗎
[01:00:48] 有錢人跟無錢人你要哪一個
[01:00:51] 對不對
[01:00:51] 所以我超愛錢的
[01:00:53] 然後錢是我們的好朋友
[01:00:55] 賺錢跟呼吸一樣簡單
[01:00:57] 我們把這句話吸到我的骨髓裡面
[01:01:00] 好不好
[01:01:01] 拉回到我們的系統來
[01:01:03] 那富人如果用系統賺錢
[01:01:05] 我們都聽過
[01:01:07] 那個羅伯特清奇說
[01:01:09] 這個的書我們都看過富爸爸窮爸爸
[01:01:12] 但是請問
[01:01:14] 請問你們哦
[01:01:15] 陳時回答我你有系統嗎
[01:01:18] 有的寫yes沒有打no
[01:01:20] 你有建立系統嗎
[01:01:23] 有的打yes沒有打no
[01:01:26] 我看看你們有沒有系統
[01:01:32] 你看
[01:01:33] 所有人
[01:01:34] 幾乎都刷一排no給我
[01:01:38] 那為什麼沒有建立系統
[01:01:40] 因為我們不知道系統是什麼嘛
[01:01:42] 對不對
[01:01:43] 或者聽說系統很貴
[01:01:46] 你覺得系統兩個字給你什麼感覺
[01:01:48] 我問一下
[01:01:49] 你就覺得很遙遠沒有搞懂它是什麼
[01:01:52] 還是覺得
[01:01:53] 我知道可是什麼是系統
[01:01:55] 但
[01:01:56] 可能很貴哦
[01:01:57] 太專業
[01:01:58] 你覺得系統兩個字給你什麼感覺
[01:02:00] 來我問一下
[01:02:01] 米修說太專業
[01:02:02] 好像你是不是有一種很遙遠的感覺
[01:02:05] 不懂是什麼
[01:02:06] 要時間盡情模糊
[01:02:08] 對
[01:02:08] 我以前看富爸爸窮爸爸的書
[01:02:11] 就是你們說的耶
[01:02:13] 我覺得他好模糊哦
[01:02:14] 然後我不斷研究
[01:02:15] 我覺得好難好難懂好難懂
[01:02:18] 所以我就不知道怎麼去懂他
[01:02:20] 好來我跟大家說
[01:02:21] 系統是什麼
[01:02:22] 用最簡單的方式跟大家想
[01:02:24] 系統是
[01:02:24] 我們現在要跟大家講的
[01:02:26] 系統是什麼
[01:02:27] 它是一個一戰士的自動轉化系統
[01:02:30] 然後感謝現在的時代哦
[01:02:32] 以前要建立系統真的很難
[01:02:34] 但是現在有系統
[01:02:36] 我用最簡單的方式來跟大家講
[01:02:38] 如果你們跟我一樣在
[01:02:40] 嗯就是
[01:02:41] 如果你有一個一戰士的系統會發生什麼事情
[01:02:44] 首先你有一個內容
[01:02:45] 這個內容會幫你引流
[01:02:47] 你們今天不就是因為我的內容
[01:02:49] 來到這裡嗎
[01:02:51] 就是被吸引來到這裡對不對
[01:02:54] 引流之後我們會再做引導
[01:02:56] 引導再進入什麼成交
[01:02:58] 這是最簡單的一戰士系統的一個概念
[01:03:01] 一戰士的自動轉化系統
[01:03:03] 那我要講的是
[01:03:06] 那系統是一個概念
[01:03:08] 那如果有一個
[01:03:09] 嗯一個很完整的系統
[01:03:11] 它是什麼概念
[01:03:13] 想知道嗎
[01:03:14] 有一個完整的系統
[01:03:15] 如果我可以清楚的讓你知道什麼叫做系統
[01:03:18] 而且原來它是什麼概念會想知道嗎
[01:03:22] 好我就是想清楚跟你們講清楚
[01:03:25] 因為有了一個系統
[01:03:27] 當這個系統為你所用的時候
[01:03:29] 你才會發現哦原來它這麼好用
[01:03:32] 那就是因為我開始用了系統
[01:03:35] 所以我的收入開始發生了很大的變化
[01:03:40] 很大的變化
[01:03:41] 所以哦
[01:03:42] 來所以呢來跟大家講什麼是系統
[01:03:45] 好我來跟大家講
[01:03:48] 什麼叫系統
[01:03:48] 我們用官網來說明哦
[01:03:51] 傳統式的官網大家看一下
[01:03:53] 傳統式的官網呢是
[01:03:55] 他的網站結構有點像是在告訴你
[01:03:57] 他就像一個名片一個行路
[01:03:59] 然後呢
[01:04:00] 傳但是真正的成交式的官網
[01:04:03] 也是成交式的系統呢
[01:04:05] 他是一個被設計好的一個成交路徑
[01:04:08] 然後傳統的官網他在告訴你我是誰
[01:04:11] 我有什麼客
[01:04:12] 成交式的官網在告訴你
[01:04:14] 你卡在就是告訴他的客戶
[01:04:16] 你卡在哪個
[01:04:17] 誰我可以如何協助你
[01:04:19] 大家有開始看懂差別嗎
[01:04:21] 然後再來哦
[01:04:22] 成傳統的官網會幹嘛呢
[01:04:25] 直接寫價格方案給你
[01:04:27] 這是傳統的官網
[01:04:29] 但是成交式的官網呢
[01:04:31] 我們要做的第一件事情
[01:04:32] 並不是要成交哦
[01:04:34] 有沒有覺得好像
[01:04:35] 成交式官網第一件事
[01:04:37] 竟然不需要做成交
[01:04:39] 沒錯
[01:04:39] 他不是要做成交
[01:04:41] 我們要先做的第一件事情是什麼
[01:04:44] 要建立信任
[01:04:46] 如果我連信任都沒有我
[01:04:48] 我彈劾成交對不對
[01:04:50] 如果對方跟我的信任度不足
[01:04:53] 是不可能講到成交的
[01:04:54] 因為那個太快了
[01:04:56] 就好像是男女朋友在
[01:04:58] 你今天才跟人家見面
[01:05:00] 難道明天就要結婚了嗎
[01:05:02] 太快了對不對
[01:05:04] 太快了
[01:05:05] 所以呢
[01:05:05] 我們會先建立信任
[01:05:07] 然後呢來看到你的官網的人
[01:05:11] 傳統式的官網
[01:05:12] 因為已經看到你寫了價錢
[01:05:14] 然後你寫的服務方案
[01:05:15] 他就會先看看再說
[01:05:17] 然後呢成交式呢
[01:05:19] 他的心裡是
[01:05:20] 因為我告訴你的是
[01:05:22] 哎你怎麼了
[01:05:23] 然後你被說中了
[01:05:24] 於是你願意留下聯絡方式
[01:05:27] 今天你們是不是都留下聯絡方式
[01:05:29] 所以你們來到這裡
[01:05:30] 你們可以你們來到我們的
[01:05:32] 官方Line
[01:05:33] 然後我們可以通知你們今天的活動
[01:05:35] 對不對
[01:05:36] 好因為你們被說中了某些
[01:05:38] 願意留下資料
[01:05:40] 然後傳統式的官網是什麼呢
[01:05:42] 他的流量是有的
[01:05:43] 但是呢轉化很低
[01:05:45] 為什麼呢
[01:05:46] 而且而且留
[01:05:47] 留不下名單
[01:05:49] 然後我們這種成交式的官網
[01:05:51] 他是可以累積名單的
[01:05:54] 然後而且也可以幫助成交的
[01:05:56] 好那除此之外
[01:05:57] 我前面為什麼兩個顏色不一樣呢
[01:06:00] 上面是偏粉紅色
[01:06:02] 下面是藍色為什麼不一樣
[01:06:03] 上面粉紅色是對外
[01:06:06] 也就是說呃對外的部分
[01:06:09] 好然後呢
[01:06:10] 下面藍色的地方呢是
[01:06:12] 你自己知道這個官網
[01:06:14] 也就是呃外面的人看不到
[01:06:16] 但你自己知道
[01:06:18] 如果是傳統式的官網
[01:06:19] 可能金流有串好了或者是沒有串
[01:06:22] 好可能是需要人工
[01:06:23] 因為這兩種都有
[01:06:25] 那如果像是我們這種成交式的官網
[01:06:27] 金流是什麼
[01:06:28] 就是可以讓人家
[01:06:29] 刷卡拉付錢啊這叫金流
[01:06:32] 金流系統串解好了可以成交的
[01:06:35] 然後呢傳統的官網呢
[01:06:37] 呃比如說我們都是
[01:06:39] 可能可能要做課程
[01:06:40] 要做呃呃個案服務方案的
[01:06:43] 然後呢
[01:06:44] 但是呢
[01:06:45] 如果是你的課程沒有地方放
[01:06:47] 要什麼要另外放在另外一個課程平台
[01:06:50] 然後呢我們這種官網是課程
[01:06:53] 已經放在後台可以統一管理的
[01:06:55] 哦然後呢傳統的官網呢
[01:06:57] 他是呃比如說你
[01:06:59] 你要預約的話
[01:07:00] 可能就私訊來來回歸有沒有
[01:07:02] 然後我們成交式的官網呢
[01:07:04] 是會有個預約日曆直接放在
[01:07:06] 讓你方便好好預約
[01:07:09] 哦也就是說
[01:07:10] 傳統的官網總結是什麼
[01:07:12] 他的呃
[01:07:13] 呃那個人工是比較多的
[01:07:16] 然後成交式成交式的呢
[01:07:18] 從半自動到全自動的
[01:07:20] 一個變現的流程
[01:07:22] 好講到這裡為止有理解哦
[01:07:24] 好然後有一個同學說
[01:07:26] 呃Summon在問說
[01:07:27] 那怎麼去建立信任呢
[01:07:29] 好同學
[01:07:31] 建立信任後
[01:07:32] 我們後面還會再繼續講
[01:07:34] 哦我會有一個有有專門在講
[01:07:36] 這個部分的時間
[01:07:37] 大家給我時間哦
[01:07:39] 那我先來
[01:07:40] 帶大家看一下傳統式的官網
[01:07:42] 這個是我去結某一個官網
[01:07:45] 但是我就不讓你們看到是誰哦
[01:07:47] 盡量就是把它遮蔽
[01:07:49] 不要影響到這個人哦
[01:07:50] 然後這個老師呢
[01:07:52] 是在他的官網是一個
[01:07:54] 西塔療癒的課程
[01:07:55] 好然後他可能有好幾個什麼活動啦
[01:07:58] 還有他是什麼人啊
[01:08:00] 做什麼啦
[01:08:00] 很多很多的東西
[01:08:02] 好那大家看一下
[01:08:03] 這個傳統官網的差別是什麼呢
[01:08:05] 他上面這邊我我把它遮掉
[01:08:07] 他這邊又有一排
[01:08:09] 就是好幾個分頁
[01:08:10] 然後大概有六七個分頁
[01:08:12] 啊左邊又六七個
[01:08:14] 然後他這邊會寫上
[01:08:15] 他是做西塔療癒認證
[01:08:17] 然後是不是就像我剛剛說的
[01:08:19] 傳統式的官網會寫下
[01:08:21] 他是做什麼的
[01:08:22] 然後費用多少錢
[01:08:24] 對不對他寫73880元
[01:08:27] 我沒有去上過西塔療癒
[01:08:30] 然後呢這個是他的一個頁面
[01:08:32] 然後他底下呢
[01:08:33] 會寫他有什麼是做什麼什麼的
[01:08:36] 好然後他是在論
[01:08:38] 加實體開課哦
[01:08:40] 那請問一下
[01:08:42] 這個是傳統式官網
[01:08:43] 那請問大家我問你們哦
[01:08:46] 你們看到這樣子的內容
[01:08:47] 不論你是不是
[01:08:49] 對西塔療癒有興趣的人
[01:08:51] 假設你今天是對身心靈有興趣
[01:08:54] 然後你看到這個內容
[01:08:56] 你看到七萬多塊錢
[01:08:58] 你的第一個反應是什麼
[01:09:00] 問你
[01:09:02] 你的第一個反應是什麼
[01:09:07] 你的第一個反應是什麼報名啊
[01:09:10] 他們說看看就好
[01:09:12] 哦那個頁面說好貴
[01:09:14] Uka說謝謝再聯絡貴
[01:09:16] 好
[01:09:18] 來你們知道為什麼嗎
[01:09:19] 這個跟剛剛那個
[01:09:21] 呃就是
[01:09:23] 有人說
[01:09:25] 剛剛有人在問
[01:09:27] 有人說價格有點高
[01:09:28] 好我們不論是什麼
[01:09:30] 我相信他一定是有他的價值的
[01:09:33] 我相信他是有他的價值的
[01:09:36] 但是這個傳統式的官網
[01:09:38] 跟我們我剛剛說的成交式官網是什麼
[01:09:42] 哦亮亮說沒有打中需求
[01:09:44] 好這就是傳統式官網的問題
[01:09:47] 問題點是什麼呢
[01:09:49] 因為他建立的信任度不夠
[01:09:52] 當信任度不夠的時候
[01:09:54] 是不是就直接在講費用了
[01:09:58] 那請問你就直接講費用
[01:10:00] 你覺得你會直接按點擊
[01:10:01] 那個付費就報名就結束了嗎
[01:10:04] 沒有嘛對不對
[01:10:05] 因為這個費用很高
[01:10:07] 好所以呃
[01:10:09] 這個是傳統官網在做的事情
[01:10:11] 好那我給大家看一下
[01:10:13] 什麼是成交式的官網好不好
[01:10:16] 好成交式的官網是這樣就是呢
[01:10:18] 成交式的官網這個是我的官網
[01:10:21] 好那我的官網是裡面
[01:10:23] 我會先告訴大家什麼呢
[01:10:24] 是你們都是這樣進來的對不對
[01:10:26] 你們會看到療癒師收入藍圖
[01:10:28] 有一個三天的免費先修班
[01:10:30] 好那這三天呢
[01:10:31] 我先要做的事情是什麼
[01:10:33] 我想要
[01:10:34] 從靈魂定位到自動化變現
[01:10:36] 來幫助你們打造一個
[01:10:37] 可以賣五年的安心收入系統
[01:10:40] 現額50位報名好
[01:10:42] 那請問哦
[01:10:43] 這50位是免費報名
[01:10:44] 會給你有覺得
[01:10:46] 啊我一定要付錢的感覺嗎
[01:10:48] 沒有
[01:10:48] 然後我是不是現在正在做一件事情
[01:10:52] 我現在是不是正在做
[01:10:54] 就是信任疊家的過程
[01:10:56] 因為你們又沒有知道
[01:10:57] 你們如果對我不熟
[01:11:00] 然後跟我沒有連接
[01:11:01] 我怎麼知道你這個人
[01:11:03] 講課講得好不好
[01:11:04] 對不對
[01:11:05] 然後你們如果要聽課的人
[01:11:06] 哎我怎麼知道你講課講得好不好
[01:11:08] 我怎麼知道你能不能真的支持我
[01:11:10] 好比如說你是
[01:11:11] 就是療癒師你是在做那個
[01:11:15] 嗯打羅詹普
[01:11:16] 結果呢
[01:11:17] 我都不知道你打羅詹普的好不好
[01:11:20] 你就要叫我付8000億萬
[01:11:21] 你覺得有可能嗎
[01:11:23] 但是如果你今天先讓我聽聽看
[01:11:25] 你講的好不好
[01:11:26] 我再決定要不要付錢
[01:11:28] 你有沒有覺得這樣比較舒服
[01:11:30] 有的答有
[01:11:32] 沒有答沒有
[01:11:34] 你有沒有覺得就是先給
[01:11:36] 就是怎麼樣
[01:11:37] 先給人家一個甜頭
[01:11:39] 你可以理解嗎
[01:11:41] 對不對
[01:11:42] 我們先讓人家知道說好啊
[01:11:44] 我就是我要先讓人家知道
[01:11:47] 到底這個為什麼你需要
[01:11:50] 讓他知道
[01:11:51] 我的東西是不是
[01:11:53] 不是我的東西適合所有人了
[01:11:55] 不是哦
[01:11:56] 不是哦
[01:11:57] 但是至少你們先聽了
[01:11:59] 才能夠決定哦
[01:12:00] 這個適不適合
[01:12:02] 你才會知道說
[01:12:04] 我要不要繼續聽對不對
[01:12:06] 好那這是我的第一頁
[01:12:07] 那大家在
[01:12:08] 那這是我的成交式官網
[01:12:10] 就我先這樣展示就好
[01:12:12] 那再給大家看一個
[01:12:13] 我的自動化的引流掩飾好不好
[01:12:16] 既然我剛剛說了這個是一個
[01:12:18] 呃可以
[01:12:19] 可以大概半自動到全自動
[01:12:21] 那怎麼做呢給大家看一下
[01:12:24] 等一下哦
[01:12:24] 在我的這個理題
[01:12:25] 書上面呢
[01:12:26] 我是不是把我的手途
[01:12:28] 整個都已經
[01:12:29] 呃變成是一個清晰可實化的
[01:12:32] 也就是說如果你是身心靈老師
[01:12:34] 然後如果你是想要落我地的身心靈老師
[01:12:38] 這裡很清晰的告訴你如何
[01:12:40] 從靈魂定位到品牌系統到穩定收入
[01:12:43] 那我把我的定位名稱也寫得很清楚
[01:12:46] 就是靈性品牌落地師
[01:12:48] 好那你看完這張圖之後呢往下滑
[01:12:51] 在這邊會有一個簡介
[01:12:52] 並有一個超連結
[01:12:53] 那這個連結就會連到我的官方網站
[01:12:57] 那事實上這個超連結在裡面的
[01:12:59] 一些貼文都會有出現
[01:13:01] 他就是一個行動呼籲的概念
[01:13:04] 那這裡我就不帶大家去看我們的文章
[01:13:07] 我先帶著大家去讓我們的字的話
[01:13:10] 那點擊之後就會來到這個
[01:13:12] 療癒師的收入來讀三天免費成球班
[01:13:15] 那這邊呢有一個免費報名按鈕
[01:13:18] 如果你放進去你就會到達我們的下一個環節
[01:13:22] 如果呢你是往下滑
[01:13:23] 那你繼續看這些內容
[01:13:25] 覺得哎這個內容的確是有吸引你的
[01:13:28] 然後這裡你再繼續按
[01:13:30] 也一樣會看到官方LINE OA
[01:13:33] 那你點擊官方LINE OA我們
[01:13:36] 對我們來說我們就引流成功了吧
[01:13:39] 公領域引流到我們的私領域
[01:13:41] 那現在呢我來帶著大家去看
[01:13:43] 如果引流進來會發生什麼事情
[01:13:46] 好現在就是我的官方LINE OA
[01:13:48] 沙利小宇宙的後台
[01:13:50] 在這個標籤裡面呢
[01:13:51] 我就會看到1月6號的直播裡面
[01:13:54] 現在有182個人報名了
[01:13:56] 那還有另外一個自動化的部分是什麼呢
[01:13:59] 我展示給大家看
[01:14:00] 這是我們的後台
[01:14:01] 這是一個預約系統
[01:14:03] 如果有跟我們做預約的人
[01:14:05] 那這邊我們就會看到你看
[01:14:07] 預約就會跑進來了
[01:14:08] 跑到我們的預約日理裡面
[01:14:10] 你還可以有經流也做進來
[01:14:12] 以及課程也放置進來
[01:14:16] 好那這個就是我們有做系統
[01:14:19] 你看哦當你有做系統
[01:14:21] 我展示前面給大家看
[01:14:23] 有做系統的時候
[01:14:25] 是不是有一個成交式的官網
[01:14:28] 然後裡面他就是我剛剛所說的系統
[01:14:31] 然後這個系統呢
[01:14:32] 幫你做好經流
[01:14:33] 幫你做好課程也放進去
[01:14:35] 幫你預約日利放進去
[01:14:37] 然後幫助你引流進去
[01:14:40] 請問是不是方便很多
[01:14:42] 如果你把很多事情
[01:14:44] 都一次做好的話
[01:14:45] 他就方便很多對不對
[01:14:47] 有沒有覺得很方便
[01:14:48] 有的答有
[01:14:50] 你覺得哇好方便哦
[01:14:51] 就是所有東西都設計好
[01:14:53] 也就是說我那
[01:14:55] 那明天要跟大家講什麼
[01:14:57] 那這些設計好
[01:14:58] 然後呢
[01:14:59] 有一個然後對不對
[01:15:01] 怎麼讓人家進來
[01:15:02] 明天會講
[01:15:03] 明天就要講
[01:15:04] 怎麼讓公領域的人進到私領域
[01:15:08] 那剛剛有提到
[01:15:09] 怎麼讓已經是你私領域的人
[01:15:11] 再到再跟你連結對不對
[01:15:14] 明天會講怎麼用公領域的人
[01:15:16] 引流到私領域
[01:15:18] 好你又覺得很方便了
[01:15:19] 好那我再給你們看一下
[01:15:21] 我們的學生他們做到的
[01:15:23] 就是我的個人年齁
[01:15:25] 這是我們的學員
[01:15:26] 他們做到的成果強
[01:15:28] 我給大家看一下
[01:15:32] 好我已經又打開了
[01:15:34] 好像這個呢
[01:15:35] 就是我們的
[01:15:36] 其中一個學員
[01:15:37] Yuka他的學員成果強
[01:15:40] 然後我們來看一下
[01:15:42] Yuka好像今天剛好又在現場
[01:15:44] Yuka
[01:15:45] Yuka在哪
[01:15:47] Hello Yuka Yuka太好了
[01:15:49] 好然後那個
[01:15:50] Yuka你會
[01:15:52] 你會方便開鏡頭嗎
[01:15:54] 我先把
[01:15:55] 要從你們那邊開
[01:15:57] 要從我
[01:15:58] 蛤什麼意思
[01:16:00] 他不讓我開
[01:16:01] ok ok
[01:16:03] 好
[01:16:03] 那個那我們工作人員來幫忙一下
[01:16:07] 把你的鏡頭打開
[01:16:09] 我看一下
[01:16:13] 好那Mashio就是我們等那個
[01:16:16] 你這邊不能開鏡頭嗎
[01:16:19] 對他沒有全身哦
[01:16:21] 哦是哦 ok
[01:16:23] 好
[01:16:24] 可能我看一下開啟是可以了
[01:16:30] ok
[01:16:32] 好
[01:16:32] 然後那個Yuka剛好是我們的同學
[01:16:35] 哦
[01:16:36] 然後呢
[01:16:37] 呃
[01:16:37] Yuka你要不要聊一下
[01:16:38] 就是你先自我介紹一下好不好
[01:16:41] 我等一下帶著大家來看一下你的
[01:16:43] 那個你的
[01:16:45] 一戰士的觀望
[01:16:46] 然後再帶大家看之前要不要分享一下
[01:16:49] 你自己就是你自我介紹一下
[01:16:51] 好嗨大家好我是Yuka
[01:16:53] 那我是從事說
[01:16:55] 指揮頭術牌卡占卜技前領氣
[01:16:57] 這是也是身心靈
[01:16:59] 產業相關的
[01:17:00] 那我比較早就
[01:17:03] 很很有勇氣
[01:17:04] 全職直接踏進來
[01:17:06] 再來大概34年前的時候
[01:17:09] 但那時候就是真的是貧者一股熱誠啊
[01:17:12] 就像老師剛剛講的其實
[01:17:15] 一開始
[01:17:16] 怎麼都不懂的時候真的是很
[01:17:19] 用慘的形容
[01:17:21] 那是一路這樣打磨過來的
[01:17:23] 那我覺得
[01:17:25] 遇到沙一老師
[01:17:26] 真的很感恩
[01:17:27] 我覺得是
[01:17:28] 宇宙在我需要幫助的時候
[01:17:30] 拍了一個天使來給我
[01:17:33] 謝謝
[01:17:34] 對那我覺得我受到
[01:17:37] 最大的幫助就是我覺得從
[01:17:40] 前端引流要怎麼到實際
[01:17:43] 變現他是有一個很完整的
[01:17:45] 行銷落頭
[01:17:46] 那單靠我們自己
[01:17:48] 我們有專業沒錯
[01:17:49] 那我們不見得會行銷
[01:17:52] 我們不見得會
[01:17:54] 洞察說現在的受眾他們會喜歡什麼東西
[01:17:58] 所以我覺得
[01:17:59] 與其靠自己這樣單打獨鬥
[01:18:01] 我覺得依靠一個系統
[01:18:03] 老師剛剛講的系統
[01:18:04] 我就真的
[01:18:05] 哦 打到我的心
[01:18:07] 我知道現在再重新聽一次
[01:18:09] 我還是覺得
[01:18:10] 哇 我還是感恩遇到沙利真的
[01:18:12] 對啊
[01:18:14] 啊我跟大家講一下U卡齁
[01:18:16] 大家不要看他這樣哦
[01:18:18] 你們猜他有多少粉絲
[01:18:20] 他粉絲不少哎
[01:18:22] 還有
[01:18:23] 其實U卡粉絲蠻多的
[01:18:24] U卡有兩萬粉哦
[01:18:25] 在他的ig有兩萬粉
[01:18:27] 哎U卡你要把你的那些ig啊
[01:18:29] 也可以發上來
[01:18:30] 大家如果有興趣
[01:18:31] 你們可以去追蹤他
[01:18:33] 然後可以去看看
[01:18:34] U卡就是在
[01:18:36] 整個調整他的
[01:18:37] 呃就是方式之後
[01:18:39] 他他是怎麼做的
[01:18:41] 對對對好然後
[01:18:42] 然後呢我跟大家講一下
[01:18:44] 我們開一下那個U卡的
[01:18:47] 見面給大家看一下他的
[01:18:49] 我們看得到了前台的部分好不好
[01:18:52] 比如說他調整了定位之後呢
[01:18:55] 現在U卡他就是一個
[01:18:56] 子維斗樹的好運顯化顧問
[01:18:59] 我問各位哦
[01:19:00] 你看到這個好運顯化顧問
