[00:00] 大家都知道2024到2043這20年是很具有潛力的
[50:18] 你現在有在做課的嗎
[50:20] 有在做課的人
[50:22] 打個有
[50:23] 有課程
[50:24] 或是想要做課
[50:25] 還沒做課的打個響
[50:27] 我看看你們的狀況
[50:28] 如果你已經在做課的打個有
[50:33] 你想做課的打個響
[50:36] 還沒課
[50:36] 但是你想做課
[50:38] 有人有開始錄幾堂了
[50:40] OK
[50:40] 好
[50:40] 我發現想的比較多
[50:43] 代表你們還沒做
[50:44] 對不對
[50:45] 那還沒做是不是有幾個課呢
[50:47] 我猜
[50:48] 有幾個卡住的地方
[50:50] 有的大部分都是
[50:52] 有做
[50:54] 有做是來key
[50:55] t跟我看一下
[50:56] 跟那個
[50:57] 那個豆子
[50:58] 我問你們下
[50:59] 有做課是
[51:00] 你們是有做什麼課
[51:01] 現場課還是哪一個課
[51:03] 1234
[51:04] 那個打數字給我
[51:05] 你們做的是什麼
[51:08] 哦
[51:09] 那個好
[51:10] 星宇這個是一個可解
[51:12] 超容易可解決的問題
[51:14] 好
[51:14] 然後你們那個key跟豆子
[51:16] 你們告訴我
[51:17] 你們1234做的是哪一個
[51:20] 哦
[51:20] 豆子做的是134
[51:21] 豆子做這麼多
[51:23] 134
[51:24] OK
[51:24] 那豆子挺好的
[51:26] 好
[51:26] ok
[51:26] 那那個key
[51:29] 你做的是2跟4
[51:31] ok
[51:31] 好
[51:31] 很好
[51:32] 好
[51:32] 不錯
[51:33] 很棒
[51:33] 你們超級棒
[51:34] 來
[51:34] 我跟你們講一下
[51:36] 製作課程
[51:36] 這幾種形式之後
[51:38] 那我們要怎麼做課
[51:40] 這是什麼概念
[51:41] 我給大家一個表格
[51:43] 你們可以自己截圖下來
[51:46] 這是什麼意思
[51:47] 就是
[51:48] 我們有幾種形式
[51:50] 有實體現場課
[51:51] 有現場直播課
[51:53] 有預錄課
[51:54] 然後有線上加直播
[51:55] 跟線上課加現場課
[51:57] 對不對
[51:57] 那大家由上而下來看
[52:00] 第一個實體現場課
[52:01] 他老師的負擔是會比較大的
[52:04] 雖然體驗感會比較好
[52:06] 但是來看最右邊
[52:08] 長期穩定性需是比較低
[52:11] 為什麼
[52:12] 因為你比較累啊
[52:14] 對不對
[52:14] 你同意嗎
[52:15] 如果你慢慢有年紀的
[52:17] 不是就比較累嗎
[52:18] 對不對
[52:18] 好
[52:18] 那我們繼續來看
[52:20] 那如果只有線上直播課呢
[52:23] 老師的負擔中高
[52:25] 為什麼
[52:25] 你就是要
[52:26] 如果你一直直播一直直播
[52:28] 然後長期穩定性
[52:30] 也稍微會有一點
[52:32] 就是一直直播
[52:33] 也是會有一點累
[52:34] 但是比一直給很多現場
[52:37] 實體課好多了
[52:39] 那如果你是預錄的呢
[52:40] 你看
[52:41] 預錄的老師負擔比較低
[52:43] 但是長期穩定度
[52:44] 他這邊
[52:45] 我這邊寫需要搭配是為什麼呢
[52:47] 因為如果你只有給線上課
[52:50] 那會比較單一
[52:51] 對不對
[52:52] 同意嗎
[52:53] 比較單一一點
[52:54] 那除非你是超級便宜的線上課
[52:57] 比如說比如說是那種
[52:58] 好好那種可能
[53:00] 兩千三千五千九千
[53:02] 就一萬塊以內的
[53:04] 然後你如果只有線上課
[53:05] 有就是你沒有任何大家配音
[53:07] 只是就是線上課
[53:09] 很單一的這種當然也有
[53:12] 然後對預錄的有些人不愛看
[53:14] 那預錄有些人愛
[53:15] 有些人不愛
[53:16] 我等一下會說
[53:18] 然後如果你是線上加直播的
[53:21] 你如果你是線上加直播的
[53:23] 然後你的長期穩定性會比較高
[53:25] 那如果你是線上課
[53:27] 再加上偶爾給一些現場的
[53:29] 然後呢
[53:30] 老師就是這時候的長期穩定度
[53:33] 會非常高
[53:34] 那來同學們
[53:35] 我為什麼最右邊要講長期穩定度
[53:39] 你們知道為什麼嗎
[53:41] 因為要幫你們打造的是什麼
[53:44] 因為我們要打造的就是一個
[53:46] 你至少可以做五年到十年的課
[53:50] 對吧
[53:51] 那如果你的負擔很大
[53:53] 你的負擔比較大
[53:54] 這時候你就會疲憊
[53:56] 你疲憊的時候
[53:57] 你就不一定可以常常開課
[53:59] 你們理解我意思嗎
[54:01] 然後什麼叫疲憊
[54:03] 因為我以前都是
[54:05] 我以前都是開現場課
[54:06] 一個月開一次課
[54:09] 一個月開一次現場課
[54:11] 然後如果一個月開到兩次
[54:13] 或三次
[54:14] 我可以告訴你們
[54:15] 我已經有疲憊感了
[54:17] 真的
[54:18] 而且那時候我還比較年輕
[54:20] 好
[54:21] 那你們想
[54:22] 我現在已經算是
[54:24] 我的同齡朋友裡面
[54:26] 算是那個有活力的
[54:28] 能量還不錯的
[54:30] 但是呢
[54:31] 我從很早以前就知道一件事情
[54:34] 就是
[54:36] 做線上很重要
[54:37] 那你們知道為什麼
[54:38] 做現在還有一個很重要的點是什麼
[54:41] 因為我很喜歡爬爬
[54:42] 早上喜歡到處去走
[54:44] 到處旅遊
[54:44] 我沒有辦法被固定在一個點
[54:47] 但是如果我一直辦實體現場
[54:49] 那會發生一件事情
[54:51] 我的
[54:52] 我的
[54:53] 我能夠移動的地方
[54:54] 我會受限
[54:55] 因為我得一直記得
[54:57] 我得在那個固定的時間
[54:58] 固定的地點
[54:59] 得做固定的事情
[55:01] 那我可以告訴你們
[55:02] 這個對我來說很痛苦
[55:03] 好
[55:03] 所以呢
[55:04] 對我這種人來說
[55:06] 選擇線上加直播
[55:09] 或選擇最後這兩個
[55:11] 會是我要去做的事情
[55:13] 那最後這兩個的幫助
[55:15] 如果以行銷的角度來看
[55:17] 他的穩定度也會更高
[55:20] 為什麼
[55:20] 應該說最後這幾件事情
[55:22] 穩定度更高
[55:24] 因為穩定度高
[55:25] 代表的是
[55:26] 你不會過累過勞
[55:28] 但是你又會得到
[55:30] 你應有的一個價值
[55:32] 那我要再繼續講
[55:33] 那很多升星林工作者
[55:35] 你們
[55:36] 你看
[55:36] 剛剛是不是很多人寫想要做客
[55:39] 對不對
[55:40] 你們想做客
[55:41] 但是你們卡在幾個地方
[55:43] 我們來看這幾個地方是什麼
[55:45] 你不是不想做
[55:47] 而是卡在三個起跑點
[55:49] 第一個就是不知道
[55:50] 從哪裡開始
[55:52] 什麼意思
[55:52] 就是有這個狀況的嗎
[55:55] 你感覺自己就是有料的
[55:57] 然後你也覺得
[55:58] 你有想分享的
[55:59] 但是我明明會塔羅
[56:01] 明明會占卜
[56:02] 我明明會什麼
[56:03] 但是我寫
[56:04] 我好像不知道怎麼開始
[56:06] 把我會的東西整合在一起
[56:09] 有這樣的嗎
[56:10] 有的話打個1
[56:12] 這是第一點
[56:12] 如果你有第一點
[56:13] 這個狀況的打個1
[56:15] 我看一下你們這個點
[56:17] 好
[56:17] 再來
[56:18] 你又沒有可能就是
[56:19] 你可能知道你要做什麼了
[56:23] 但是你做不出簡報跟課綱
[56:26] 有沒有你的簡報跟課程大綱
[56:29] 奇怪
[56:29] 就是你你知道模糊
[56:31] 為什麼模糊
[56:32] 如果第二點有了
[56:33] 再打個2
[56:34] 1加2
[56:35] 如果1加2都有再打個2
[56:37] 那第二點
[56:37] 我的朋友就遇到過了
[56:39] 他已經做了升星林十幾年了
[56:42] 然後他是做那種
[56:44] 有點像是高我連結的
[56:46] 然後但是這個朋友
[56:47] 他當時也來找我為什麼
[56:49] 因為他就是不會做課綱
[56:52] 他想要做課程已經很久很久了
[56:55] 然後但是他就是做不出簡報
[56:57] 做不出課綱
[56:59] 所以他來找我
[57:00] 你們知道嗎
[57:01] 那時候
[57:02] 我常常幫助我身邊的老師們
[57:05] 就是他們從做個案到變成
[57:07] 就是有做課程
[57:09] 我幫了好幾位老師做這件事情
[57:12] 他們升不出課綱
[57:13] 我陪著他們升
[57:14] 因為我剛好是邏輯
[57:16] 跟理性腦跟感性腦
[57:18] 我比較比較均衡的
[57:21] 然後我又很喜歡做簡報跟課綱
[57:24] 所以我就教他們怎麼做
[57:26] 然後再來升星老師
[57:27] 還會卡在一個就是
[57:29] 有沒有人有這個問題點
[57:30] 我線上課這麼多了
[57:32] 真的還有需求嗎
[57:33] 有嗎
[57:33] 你有覺得有這個點嗎
[57:35] 如果第三點
[57:36] 你也有這個疑惑了
[57:37] 你打個3
[57:38] 我就知道第三點
[57:39] 你有這個疑惑嗎
[57:40] 你會不會覺得
[57:42] 真的還有線上課的需求嗎
[57:45] 然後我要告訴你一件事情
[57:48] 你知道嗎
[57:50] 你要考慮的完全不是
[57:52] 到底有沒有線上課的需求
[57:56] 這個就
[57:56] 如果你有被這個
[57:58] 這個叫做假題目
[58:00] 這個是一個假題目
[58:02] 是很多人的假題目
[58:04] 為什麼
[58:04] 因為這個假題目
[58:06] 讓很多人不做課
[58:09] 但他好渴望想要有自己的課
[58:11] 就好像很多人想
[58:12] 以前早期你們知道很多人想幹嘛嗎
[58:15] 有沒有人曾經有那個夢
[58:17] 想當作家
[58:18] 想出一本自己的書
[58:20] 有沒有
[58:22] 有嗎
[58:22] 我以前有
[58:25] 我以前有
[58:26] 你們有跟我一樣嗎
[58:27] 想出書
[58:28] 然後呢
[58:30] 我以前有
[58:32] 那所以你知不知道
[58:33] 要作課也是你們的
[58:35] 其實是很多升星林老師
[58:38] 心裡面的一個夢
[58:40] 你們知不知道
[58:41] 那是你們的一個夢
[58:42] 知道哪個夢
[58:43] 好不好
[58:45] 知道的話
[58:45] 打一個夢
[58:46] 你知道這是你的夢
[58:48] 你知道
[58:49] 但是你沒有
[58:50] 你沒有做到他
[58:52] 然後你就怕他永遠都只是一個夢
[58:54] 那我要告訴你們一個重點了
[58:57] 線上課那麼多還有需求嗎
[58:59] 我可以告訴你
[59:00] 你知道嗎
[59:02] 來
[59:02] 所有的人
[59:04] 聽一下
[59:06] 你是獨一無二的存在
[59:09] 因為你非常獨一無二
[59:11] 所以你內在整合的所有那些經驗
[59:16] 你整合的所有那些經歷
[59:18] 你做過的所有那些積累下來的個案數量
[59:23] 那些東西全部都是你的地基
[59:27] 全部都變成了你的土壤
[59:30] 你的養分
[59:32] 然後你的土壤
[59:34] 你的養分
[59:35] 它凝聚到一個程度的時候
[59:38] 它會開始
[59:40] 裡面開始有一顆種子
[59:43] 它正在發芽長大
[59:46] 然後那個正在發芽長大的種子
[59:48] 在做一件事情
[59:50] 它想要成為一個餐廳大樹
[59:54] 它想要成為那個可以
[59:58] 避應人們的一顆大樹
[01:00:01] 那你們為什麼會想要做線上課
[01:00:04] 是因為你的內在
[01:00:06] 有一個很深刻的渴望
[01:00:08] 就是如果我可以把我的經歷
[01:00:12] 把我的經驗
[01:00:15] 把這些東西轉換成為這一顆樹
[01:00:18] 把它長成一顆樹的時候
[01:00:20] 那麼你的這一顆
[01:00:22] 你的課長成了
[01:00:24] 它變成一顆樹
[01:00:26] 它會庇護到很多人
[01:00:29] 它會支持到很多人
[01:00:31] 這就是為什麼
[01:00:32] 你們內在會想要做線上課的原因
[01:00:37] 這就是為什麼
[01:00:38] 你內在會有一個這個夢
[01:00:41] 因為你的內心深處知道
[01:00:43] 那個點你走過
[01:00:47] 你走過了
[01:00:49] 你想把你自己如何穿越
[01:00:51] 你自己那獨一無二的經驗
[01:00:54] 穿越的方式
[01:00:56] 奉獻出來
[01:00:58] 讓這世界的人知道
[01:01:00] 然後把它做成線上課
[01:01:02] 或者是做成課程
[01:01:04] 那就是你能夠去做到的
[01:01:07] 支持到人們的方式
[01:01:09] 所以你現在有知道了嗎
[01:01:11] 你知道你想要做這個課
[01:01:14] 但是你知道你有這個夢
[01:01:17] 它是怎麼來的
[01:01:18] 你現在更有感覺了嗎
[01:01:21] 如果你有感覺的話
[01:01:23] 幫我打個999
[01:01:25] 999
[01:01:31] 好
[01:01:35] 那現在呢
[01:01:36] 我要跟各位說
[01:01:39] 現在你已經知道
[01:01:40] 你內在的渴望
[01:01:42] 你也知道
[01:01:43] 好
[01:01:43] 如果你不再被這些卡點多影響了
[01:01:48] 那麼你要做什麼事情
[01:01:50] 你要做的事情呢
[01:01:52] 就是開始做兩個點
[01:01:55] 你要開始
[01:01:57] 哦 等一下
[01:02:02] 你要開始做
[01:02:04] 你如果知道這個事情
[01:02:05] 我要跟大家講一件事
[01:02:07] 你們可能還會有個點
[01:02:09] 剛剛是不是有人說
[01:02:10] 線上
[01:02:12] 申信老師另外一卡點
[01:02:14] 是能量課怎麼線上化
[01:02:15] 所以我的夢是要做課程
[01:02:18] 但是不一定要做線上課
[01:02:20] 但是我卻又要告訴你
[01:02:23] 一個很有趣的事情
[01:02:25] 新語
[01:02:26] 我要跟你說
[01:02:27] 線上課是一個
[01:02:28] 因為大家一定都發現了
[01:02:30] 從本來很多很多人
[01:02:33] 不做線上課的
[01:02:34] 大家全部都是線上課
[01:02:36] 我們都是被一場疫情
[01:02:38] 逼得變成做線上課
[01:02:40] 有沒有啊
[01:02:41] 有沒有有感覺嗎
[01:02:43] 那我在疫情之前
[01:02:44] 也就是我接觸生心靈的
[01:02:47] 大概這20年
[01:02:48] 我這20年的
[01:02:49] 這接觸20年
[01:02:52] 大概我接觸到第二年的時候
[01:02:54] 我就開始做線上課了
[01:02:55] 也就是那時候
[01:02:56] 根本沒有人知道線上
[01:02:58] 但是我就在做
[01:02:59] 你們知道為什麼嗎
[01:03:01] 因為我太想要自由了
[01:03:03] 然後我不想要被綁在一個地方
[01:03:06] 我當時做的那個
[01:03:07] 我做了兩種課
[01:03:08] 第一個是愛自己課程
[01:03:10] 我做線上函授課
[01:03:12] 我跟你們講
[01:03:13] 我當時做的那個課
[01:03:15] 還蠻受歡迎的
[01:03:16] 內地可能超過上萬個人
[01:03:19] 有看過我的課
[01:03:20] 包含盜版
[01:03:22] 我的課被盜版了
[01:03:24] 然後呢
[01:03:25] 在就是在臺灣也有可能上
[01:03:27] 上千不少多少人
[01:03:28] 有看有上過我的課
[01:03:30] 然後這是我的第一個
[01:03:32] 他叫做寒壽課程
[01:03:34] 那個年代
[01:03:35] 寒壽課程是什麼意思
[01:03:36] 就是給人家有點像是電子檔案
[01:03:39] 然後我有做過業
[01:03:40] 我會陪伴他
[01:03:42] 用當時我能夠陪的方式
[01:03:44] 這是一個方式
[01:03:45] 然後後來我又開了
[01:03:47] 我又開了另外一個線上課
[01:03:50] 他那個是光的課程
[01:03:51] 那我當時有可能是
[01:03:53] 應該幾乎可以確定
[01:03:55] 百分之百確定
[01:03:57] 我是全臺灣第一個
[01:03:59] 把光的課程
[01:04:00] 變成線上課的老師
[01:04:03] 為什麼呢
[01:04:04] 因為那時候
[01:04:05] 非常多人都認為
[01:04:06] 光的課程這樣的課是
[01:04:08] 能量課
[01:04:09] 來 大家看我一下
[01:04:10] 是能量課
[01:04:11] 所以他一定要現場
[01:04:14] 那但是我那時候
[01:04:15] 頭腦非常不理解
[01:04:17] 我問各位
[01:04:18] 能量這個東西
[01:04:22] 那個你有覺得一定要現場嗎
[01:04:25] 我問你們
[01:04:28] 能量它不就是
[01:04:30] 穿越時空 穿越時間
[01:04:32] 穿越線性
[01:04:34] 那為什麼一定要現場
[01:04:35] 可以遠距
[01:04:36] 當時20年前沒有人知道遠距
[01:04:39] 20年前沒有人知道遠距
[01:04:42] 但是那時候我覺得非常疑惑
[01:04:44] 為什麼
[01:04:46] 為什麼能量課不能現上
[01:04:48] 因為我已經常到
[01:04:50] 我上一個課程
[01:04:51] 也就是我做韓受課的甜頭了
[01:04:53] 對不對
[01:04:54] 那我就開始覺得
[01:04:56] 這種課怎麼會不能現上呢
[01:04:58] 所以在當時
[01:05:00] 現上非常不普及的時候
[01:05:02] 我花了貴貴的錢
[01:05:04] 去買了一個
[01:05:05] 可以做線上課程的一個軟件
[01:05:07] 然後又很難用
[01:05:09] 因為那個年代
[01:05:09] 根本沒有人幹這個事情
[01:05:12] 然後我就很努力的研究他
[01:05:14] 把我的課做
[01:05:15] 我的光的課程的課
[01:05:17] 做成了就是線上課就對了
[01:05:21] 那我要跟大家說
[01:05:22] 把他做成線上課之後
[01:05:23] 也真的是有幫助
[01:05:24] 我就至少
[01:05:25] 我應該至少賣了100個人吧
[01:05:28] 沒有很多人
[01:05:29] 但是以當時的我來說
[01:05:31] 我已經覺得很開心了
[01:05:32] 因為如果100個人
[01:05:35] 你們想
[01:05:36] 光的課程那時候是
[01:05:38] 我錄了一階二
[01:05:39] 就是那什麼
[01:05:40] 第一集次 第二集次
[01:05:41] 第三 第四集
[01:05:42] 四個集次就是一年
[01:05:44] 那我都是直接賣一年份
[01:05:46] 然後沒有
[01:05:47] 我就是第一年而已
[01:05:49] 那我算給大家聽
[01:05:50] 第一年一個集次是多少錢
[01:05:53] 一個集次是6000塊
[01:05:55] 當時一個集次6000
[01:05:57] 下房變8000了
[01:05:58] 那時候一個集次是6000
[01:06:00] 我是不是一次賣四個集次
[01:06:02] 就是2,400
[01:06:03] 對不對
[01:06:04] 很便宜
[01:06:04] 對啊
[01:06:05] 那對不起
[01:06:06] 我說錯 2萬4
[01:06:08] 2萬是那一次買四個集次
[01:06:11] 我就算他2萬塊
[01:06:12] 有沒有便宜
[01:06:14] 那2萬塊他一次買一年
[01:06:16] 那100個人
[01:06:17] 那我算給你們看
[01:06:19] 我就做兩
[01:06:19] 我就賺2萬了
[01:06:22] 你們覺得可以嗎
[01:06:24] 你們覺得可以嗎
[01:06:26] 其實雖然那時候我都
[01:06:28] 還不太會行銷
[01:06:30] 但我還是很愛賺錢
[01:06:32] 因為小時候太苦了
[01:06:34] 所以我死活都要想辦法賺錢
[01:06:37] 好
[01:06:38] 那所以線上
[01:06:39] 所以我要告訴你們
[01:06:41] 能量課可不可以線上化
[01:06:43] 我就問你們
[01:06:44] 所以我當時就是線上就帶冥想
[01:06:47] 那當我把線上課做起來
[01:06:50] 就我的老師
[01:06:51] Nancy老師
[01:06:52] 他就他看到我把課程
[01:06:55] 那個光的課程做成線上課之後
[01:06:57] 他也做了線上課
[01:06:59] 然後你們知道
[01:07:00] 當Nancy老師比我
[01:07:01] 那時候絕對絕對絕對
[01:07:03] 他是最有權威的
[01:07:05] 那為什麼
[01:07:06] 因為他是很很早期很早期
[01:07:08] 就把光的課程帶來台灣的老師
[01:07:11] 好
[01:07:12] 所以他在那個光的課程圈層裡面
[01:07:16] 是非常的有重量的
[01:07:18] 有份量的
[01:07:19] 就是有份量不是重量
[01:07:20] 所以呢
[01:07:21] Nancy老師
[01:07:22] 他當時開的第一個光的課程線上課
[01:07:26] 你們猜多少人
[01:07:27] 對
[01:07:28] 對
[01:07:28] Nancy老師我非常敬重他
[01:07:30] 你們猜多少人
[01:07:32] 有跟過的人就會知道
[01:07:36] 他的第一期
[01:07:38] 他的第一集是你們猜多少人
[01:07:40] 沒有人知道
[01:07:41] 隨便猜都可以
[01:07:42] 30 50都可以
[01:07:43] 百人
[01:07:44] 有人問好來我告訴你們
[01:07:45] 100多個人
[01:07:47] 他的第一次
[01:07:49] I線上課
[01:07:50] 就100多個人
[01:07:51] 那我要告訴你們Nancy老師
[01:07:53] 他非常的開放
[01:07:55] 也就是當他看到我這樣做
[01:07:57] 他覺得說的也是
[01:07:59] 他沒有批判我
[01:08:01] 然後他也
[01:08:02] 然後他跟著我與時俱進
[01:08:04] 做了改變
[01:08:05] 結果第一次就100多個人去上他的課
[01:08:08] 包含我也去上
[01:08:09] 那我要說的是
[01:08:10] 當時我聽到很多人
[01:08:12] 都有一些
[01:08:15] 其他的資深老師
[01:08:17] 都在批評Nancy老師
[01:08:18] 這種課怎麼可以線上
[01:08:20] 我告訴你
[01:08:21] 他沒有聽
[01:08:22] 他就是開
[01:08:23] 一直開
[01:08:24] 繼續開
[01:08:25] 因為他很
[01:08:27] 走在很前端
[01:08:29] 而且他想通了一件事情
[01:08:32] 能量課怎麼不能線上呢
[01:08:34] 大家理解嗎
[01:08:35] 所以我要告訴你們
[01:08:39] 很多老師他擅長
[01:08:41] 現場感受
[01:08:42] 擅長現場的互動
[01:08:44] 現場的能量場
[01:08:46] 那你們的卡點
[01:08:48] 並不是能量課不能放在線上
[01:08:51] 而是能量課在線上的時候
[01:08:54] 你們要習慣
[01:08:56] 你要重新調整你的習慣
[01:08:58] 線上課的流程設計
[01:09:01] 線上課的一個
[01:09:03] 引導的節奏
[01:09:04] 然後線上課那種承接的方式
[01:09:07] 都不是說只是
[01:09:09] 跟現場不太一樣
[01:09:12] 你們只是不習慣而已
[01:09:14] 這樣有理解嗎
[01:09:15] 有懂了
[01:09:16] 而且你認同我說的
[01:09:18] 打個加一
[01:09:20] 你認同
[01:09:20] 你知道
[01:09:21] 你理解我在說什麼
[01:09:23] 而且你認同的打個加一
[01:09:25] 我就知道你有聽懂我的意思
[01:09:26] 你有聽懂
[01:09:28] 因為你聽懂對我很重要
[01:09:30] 你沒有聽懂
[01:09:30] 我你今天光聽懂
[01:09:33] 我說的這些
[01:09:34] 你去調整你
[01:09:35] 你未來你去做的事情
[01:09:37] 就可以支持幫助到你了
[01:09:39] 好不好
[01:09:40] 就可以幫助你了
[01:09:42] 好那我們繼續再講一下
[01:09:44] 那既然你有聽懂
[01:09:45] 來我們繼續
[01:09:46] 那既然這樣來
[01:09:47] 各位看一下
[01:09:48] 你們的收入來源
[01:09:50] 最主要的
[01:09:51] 如果你是全職的
[01:09:53] 那如果即便你是專業
[01:09:57] 你有一個專業
[01:09:58] 再加上升精靈
[01:09:59] 這兩個方案
[01:10:00] 我依舊會非常推薦你
[01:10:02] 我依舊非常推薦
[01:10:04] 就是不論你是全職
[01:10:05] 或者是把升精靈
[01:10:06] 當第二收入的
[01:10:07] 我都非常推薦這兩件事情
[01:10:10] 第一個就是
[01:10:11] 提供高價值高成效方案
[01:10:13] 提供最好的服務
[01:10:14] 去升單到你的套裝組合
[01:10:17] 這個同意嗎
[01:10:18] 然後第二個就是製作你的線上課
[01:10:21] 那我會強調是線上
[01:10:23] 而不是只是製作課程
[01:10:25] 是因為
[01:10:26] 我可以告訴你
[01:10:28] 未來
[01:10:29] 就是在這幾年
[01:10:30] 你會看到就會越來越多線上課
[01:10:33] 然後當你不一定有
[01:10:35] 控制現場的時候
[01:10:37] 你的線上課永遠支持你
[01:10:39] 你理解嗎
[01:10:40] 他是會長長久久支持你
[01:10:43] 就像Nancy老師
[01:10:45] 他開光的課程
[01:10:46] 他把每一次光的課程都錄下來
[01:10:50] 他
[01:10:50] 因為他是線上
[01:10:51] 線上帶
[01:10:52] 然後他線上每一次都錄下來
[01:10:54] 來
[01:10:54] 我告訴你們發生一件事情
[01:10:56] 因為我跟Nancy老師很熟悉
[01:10:58] Nancy老師
[01:10:59] 我以前有一段時間
[01:11:01] 還常常幫Nancy老師邁課
[01:11:03] 你知道嗎
[01:11:05] 就是我身邊的朋友
[01:11:06] 因為那時候我的狀況
[01:11:07] 是這樣我跟大家說
[01:11:08] 我的狀況是
[01:11:09] 我剛剛是不是說
[01:11:11] 我給予第一集次到第四集次的光的課程
[01:11:14] 但是光的課程總共要走五年
[01:11:17] 那結果
[01:11:18] 我只提供第一年的課程內容
[01:11:21] 那第二年到第五年我都沒做
[01:11:24] 因為我不想做了
[01:11:25] 你知道我不想做後面
[01:11:26] 那怎麼辦呢
[01:11:27] 那些人想繼續跟
[01:11:29] 那我就會把他們轉介紹給Nancy老師
[01:11:32] 所以Nancy老師那邊就有
[01:11:34] 那Nancy老師怎麼承接這些人呢
[01:11:36] 如果Nancy老師他正在帶
[01:11:39] 第一隨便講
[01:11:40] 就是第三年的內容
[01:11:42] 但是人家要的是第二年的內容
[01:11:44] 那請問你覺得該怎麼辦
[01:11:46] 你就該怎麼辦
[01:11:47] 是不是這個客戶就流失掉了嗎
[01:11:50] 你覺得是這樣子嗎
[01:11:52] 我問你們該怎麼辦
[01:11:55] 看重播
[01:11:56] 哎
[01:11:57] 星宇
[01:11:58] 那重播哪裡來的
[01:12:00] 不就是把你的課錄下來嗎
[01:12:04] 所以線上課有沒有很重要
[01:12:07] 難道他要等著
[01:12:08] Nancy老師把第三年
[01:12:10] 第四年
[01:12:11] 第五年都上完了
[01:12:12] 全部再回到第二年
[01:12:14] 那一年的內容才跟嗎
[01:12:16] 不可能嗎
[01:12:17] 不現實嗎
[01:12:18] 對不對
[01:12:19] 那難道讓這個客戶流失掉嗎
[01:12:21] 不願意啊
[01:12:22] 對不對
[01:12:23] 所以是做線上課有沒有重要
[01:12:26] 有理解我現在說的重要的
[01:12:29] 打重要
[01:12:31] 你理解了
[01:12:31] 你就原來線上課很有用
[01:12:34] 那我告訴你們
[01:12:35] 那個很多人說
[01:12:37] 有些人會說什麼
[01:12:38] 有些人會說
[01:12:39] 但是有的人不喜歡看線上課
[01:12:41] 有的人不喜歡錄播
[01:12:42] 我告訴你
[01:12:44] 你知道為什麼
[01:12:44] 有的人不喜歡錄播嗎
[01:12:46] 因為你錄得不好
[01:12:50] 我告訴你一件事
[01:12:52] 這個是你們不知道的
[01:12:53] 當你錄得好
[01:12:54] 我說的錄得好是有原因
[01:12:56] 我等一下
[01:12:56] 我跟你講
[01:12:57] 當你錄好的時候
[01:12:58] 我曾經買過一個課
[01:13:00] 那個課在內地是八萬多塊錢
[01:13:03] 然後我買了那個課之後
[01:13:05] 我告訴你
[01:13:06] 那個時候好像也差不多
[01:13:08] 現在這個時間
[01:13:09] 就是年底
[01:13:10] 然後我去買了那個課之後
[01:13:13] 我本來跟你們大家一樣
[01:13:16] 當時那時候
[01:13:17] 因為那時候還沒有疫情
[01:13:18] 我想起來了
[01:13:19] 那時候還沒有疫情
[01:13:20] 所以我跟你們一樣
[01:13:21] 那時候還有一點排斥
[01:13:23] 已經錄播好的課程
[01:13:24] 而且他還不是錄播
[01:13:25] 不好意思
[01:13:26] 他是什麼呢
[01:13:27] 他是那個
[01:13:28] 就是他是現場直播
[01:13:31] 然後都沒有剪
[01:13:32] 都沒有剪
[01:13:33] 你就是聽就對了
[01:13:34] 那我告訴你們一個重點
[01:13:36] 因為那個老師講得太好了
[01:13:39] 所以我以為
[01:13:40] 我只會看半小時
[01:13:42] 我就沒有耐心了
[01:13:43] 大家聽一下
[01:13:44] 我以為我沒有耐心
[01:13:46] 結果我那一整天
[01:13:49] 第二天
[01:13:50] 第三天
[01:13:51] 我整天整天在看課
[01:13:53] 有聽懂我嗎
[01:13:55] 因為你們沒有
[01:13:58] 因為沒有把那個課
[01:14:00] 如果你沒有把課錄好
[01:14:02] 那人家當然看的沒有興趣
[01:14:04] 但是那個老師他
[01:14:06] 真的老實說
[01:14:07] 他把課整理得很好
[01:14:08] 他的簡報也做得很好
[01:14:11] 所以呢
[01:14:11] 我從第一天聽課
[01:14:13] 我就入迷了
[01:14:14] 然後那時候
[01:14:15] 我對於線上課完全改觀
[01:14:18] 完全改觀
[01:14:20] 那這個是我那時候的線上課
[01:14:22] 我可以告訴你們
[01:14:23] 我有好幾個這種高價值的
[01:14:26] 就是價格高的線上課
[01:14:28] 像我有去上小船老師的線上課
[01:14:30] 他線上課20萬
[01:14:31] 我也報你們
[01:14:32] 我可以告訴你們
[01:14:33] 這個20萬我覺得很值得
[01:14:36] 然後我也報名了好幾個
[01:14:37] 那種高價課老師
[01:14:39] 我都覺得好幾個
[01:14:40] 他們都是路播
[01:14:41] 不好意思
[01:14:42] 大家幫我看
[01:14:43] 那個路播課
[01:14:44] 大陸那課
[01:14:44] 我突然想不起來了
[01:14:46] 他叫那個大陸那是媽媽不凡
[01:14:49] Alan Paul老師的
[01:14:50] 我也報了
[01:14:51] 也很貴
[01:14:52] 然後我要說的是
[01:14:53] 都他們課很好
[01:14:55] 但是呢
[01:14:56] 我要說的是
[01:14:57] 他們課得很好
[01:14:58] 為什麼
[01:14:59] 他們都是路播
[01:15:00] 所以重點不是
[01:15:02] 重點不是他們的
[01:15:05] 重點不是路播課
[01:15:07] 就是路播課不合適
[01:15:08] 是這個老師的功力好不好
